Time,fms,HR,individual,simulation
12-02-26,1,104.280,1,walk
12-02-27,1,104.270,1,walk
12-02-28,1,104.180,1,walk
12-02-29,1,104.100,1,walk
12-02-30,1,103.970,1,walk
12-02-31,1,103.820,1,walk
12-02-32,1,103.650,1,walk
12-02-33,1,103.480,1,walk
12-02-34,1,103.330,1,walk
12-02-35,1,103.200,1,walk
12-02-36,1,103.080,1,walk
12-02-37,1,102.970,1,walk
12-02-38,1,102.900,1,walk
12-02-39,1,102.850,1,walk
12-02-40,1,102.780,1,walk
12-02-41,1,102.730,1,walk
12-02-42,1,102.680,1,walk
12-02-43,1,102.680,1,walk
12-02-44,1,102.730,1,walk
12-02-45,1,102.780,1,walk
12-02-46,1,102.830,1,walk
12-02-47,1,102.870,1,walk
12-02-48,1,102.880,1,walk
12-02-49,1,102.880,1,walk
12-02-50,1,102.770,1,walk
12-02-51,1,102.670,1,walk
12-02-52,1,102.570,1,walk
12-02-53,1,102.450,1,walk
12-02-54,1,102.320,1,walk
12-02-55,1,102.200,1,walk
