Time,fms,HR,individual,simulation
12-06-13,5,72.050,12,sea
12-06-14,5,72.080,12,sea
12-06-15,5,72.120,12,sea
12-06-16,5,72.130,12,sea
12-06-17,5,72.130,12,sea
12-06-18,5,72.130,12,sea
12-06-19,5,72.180,12,sea
12-06-20,5,72.280,12,sea
12-06-21,5,72.400,12,sea
12-06-22,5,72.530,12,sea
12-06-23,5,72.570,12,sea
12-06-24,5,72.730,12,sea
12-06-25,5,72.900,12,sea
12-06-26,5,73.020,12,sea
12-06-27,5,73.120,12,sea
12-06-28,5,73.230,12,sea
12-06-29,5,73.420,12,sea
12-06-30,5,73.550,12,sea
12-06-31,5,73.700,12,sea
12-06-32,5,73.830,12,sea
12-06-33,5,74.030,12,sea
12-06-34,5,74.170,12,sea
12-06-35,5,73.920,12,sea
12-06-36,5,73.870,12,sea
12-06-37,5,73.820,12,sea
12-06-38,5,73.780,12,sea
12-06-39,5,73.770,12,sea
12-06-40,5,73.750,12,sea
12-06-41,5,73.630,12,sea
12-06-42,5,73.500,12,sea
