Time,fms,HR,individual,simulation
12-11-28,1,100.120,13,room
12-11-29,1,100.080,13,room
12-11-30,1,100.020,13,room
12-11-31,1,99.970,13,room
12-11-32,1,99.900,13,room
12-11-33,1,99.830,13,room
12-11-34,1,99.770,13,room
12-11-35,1,99.680,13,room
12-11-36,1,99.630,13,room
12-11-37,1,99.570,13,room
12-11-38,1,99.470,13,room
12-11-39,1,99.370,13,room
12-11-40,1,99.270,13,room
12-11-41,1,99.130,13,room
12-11-42,1,98.980,13,room
12-11-43,1,98.830,13,room
12-11-44,1,98.680,13,room
12-11-45,1,98.530,13,room
12-11-46,1,98.370,13,room
12-11-47,1,98.220,13,room
12-11-48,1,98.120,13,room
12-11-49,1,97.980,13,room
12-11-50,1,97.870,13,room
12-11-51,1,97.720,13,room
12-11-52,1,97.570,13,room
12-11-53,1,97.430,13,room
12-11-54,1,97.300,13,room
12-11-55,1,97.200,13,room
12-11-56,1,97.100,13,room
12-11-57,1,97.000,13,room
