Time,fms,HR,individual,simulation
05-06-51,0,76.280,14,beach
05-06-52,0,76.220,14,beach
05-06-53,0,76.080,14,beach
05-06-54,0,75.980,14,beach
05-06-55,0,75.850,14,beach
05-06-56,0,75.700,14,beach
05-06-57,0,75.580,14,beach
05-06-58,0,75.370,14,beach
05-06-59,0,75.230,14,beach
05-07-00,0,75.080,14,beach
05-07-01,0,74.980,14,beach
05-07-02,0,74.870,14,beach
05-07-03,0,74.770,14,beach
05-07-04,0,74.650,14,beach
05-07-05,0,74.520,14,beach
05-07-06,0,74.430,14,beach
05-07-07,0,74.320,14,beach
05-07-08,0,74.150,14,beach
05-07-09,0,73.980,14,beach
05-07-10,0,73.930,14,beach
05-07-11,0,73.880,14,beach
05-07-12,0,73.830,14,beach
05-07-13,0,73.880,14,beach
05-07-14,0,73.900,14,beach
05-07-15,0,73.920,14,beach
05-07-16,0,73.850,14,beach
05-07-17,0,73.820,14,beach
05-07-18,0,73.820,14,beach
05-07-19,0,73.830,14,beach
05-07-20,0,73.800,14,beach
