Time,fms,EDA,individual,simulation
04-14-19,0,2.866,14,sea
04-14-20,0,2.853,14,sea
04-14-21,0,2.853,14,sea
04-14-22,0,2.858,14,sea
04-14-23,0,2.862,14,sea
04-14-24,0,2.853,14,sea
04-14-25,0,2.836,14,sea
04-14-26,0,2.833,14,sea
04-14-27,0,2.825,14,sea
04-14-28,0,2.796,14,sea
04-14-29,0,2.790,14,sea
04-14-30,0,2.787,14,sea
04-14-31,0,2.789,14,sea
04-14-32,0,2.772,14,sea
04-14-33,0,2.766,14,sea
04-14-34,0,2.789,14,sea
04-14-35,0,2.781,14,sea
04-14-36,0,2.893,14,sea
04-14-37,0,3.134,14,sea
04-14-38,0,3.120,14,sea
04-14-39,0,3.023,14,sea
04-14-40,0,2.970,14,sea
04-14-41,0,2.959,14,sea
04-14-42,0,2.943,14,sea
04-14-43,0,2.929,14,sea
04-14-44,0,2.917,14,sea
04-14-45,0,2.907,14,sea
04-14-46,0,2.892,14,sea
04-14-47,0,2.886,14,sea
04-14-48,0,2.876,14,sea
