Time,fms,HR,individual,simulation
04-15-14,1,74.350,2,sea
04-15-15,1,74.450,2,sea
04-15-16,1,74.570,2,sea
04-15-17,1,74.700,2,sea
04-15-18,1,74.870,2,sea
04-15-19,1,75.030,2,sea
04-15-20,1,75.170,2,sea
04-15-21,1,75.320,2,sea
04-15-22,1,75.450,2,sea
04-15-23,1,75.550,2,sea
04-15-24,1,75.670,2,sea
04-15-25,1,75.800,2,sea
04-15-26,1,75.930,2,sea
04-15-27,1,76.080,2,sea
04-15-28,1,76.220,2,sea
04-15-29,1,76.320,2,sea
04-15-30,1,76.420,2,sea
04-15-31,1,76.480,2,sea
04-15-32,1,76.580,2,sea
04-15-33,1,76.700,2,sea
04-15-34,1,76.820,2,sea
04-15-35,1,76.920,2,sea
04-15-36,1,77.000,2,sea
04-15-37,1,77.080,2,sea
04-15-38,1,77.170,2,sea
04-15-39,1,77.230,2,sea
04-15-40,1,77.300,2,sea
04-15-41,1,77.350,2,sea
04-15-42,1,77.370,2,sea
04-15-43,1,77.350,2,sea
