Time,fms,HR,individual,simulation
04-41-16,1,67.550,4,beach
04-41-17,1,67.200,4,beach
04-41-18,1,66.880,4,beach
04-41-19,1,66.600,4,beach
04-41-20,1,66.330,4,beach
04-41-21,1,66.070,4,beach
04-41-22,1,65.880,4,beach
04-41-23,1,65.670,4,beach
04-41-24,1,65.500,4,beach
04-41-25,1,65.330,4,beach
04-41-26,1,65.130,4,beach
04-41-27,1,64.970,4,beach
04-41-28,1,64.820,4,beach
04-41-29,1,64.670,4,beach
04-41-30,1,64.480,4,beach
04-41-31,1,64.300,4,beach
04-41-32,1,64.120,4,beach
04-41-33,1,63.880,4,beach
04-41-34,1,63.630,4,beach
04-41-35,1,63.300,4,beach
04-41-36,1,63.000,4,beach
04-41-37,1,62.700,4,beach
04-41-38,1,62.420,4,beach
04-41-39,1,62.150,4,beach
04-41-40,1,61.880,4,beach
04-41-41,1,61.630,4,beach
04-41-42,1,61.420,4,beach
04-41-43,1,61.170,4,beach
04-41-44,1,61.030,4,beach
04-41-45,1,60.930,4,beach
