Time,fms,EDA,individual,simulation
03-58-32,0,0.982,4,room
03-58-33,0,0.982,4,room
03-58-34,0,0.991,4,room
03-58-35,0,0.996,4,room
03-58-36,0,0.972,4,room
03-58-37,0,0.966,4,room
03-58-38,0,0.950,4,room
03-58-39,0,0.946,4,room
03-58-40,0,0.939,4,room
03-58-41,0,0.930,4,room
03-58-42,0,0.935,4,room
03-58-43,0,0.995,4,room
03-58-44,0,1.053,4,room
03-58-45,0,1.152,4,room
03-58-46,0,1.124,4,room
03-58-47,0,1.102,4,room
03-58-48,0,1.088,4,room
03-58-49,0,1.058,4,room
03-58-50,0,1.059,4,room
03-58-51,0,1.104,4,room
03-58-52,0,1.133,4,room
03-58-53,0,1.105,4,room
03-58-54,0,1.069,4,room
03-58-55,0,1.022,4,room
03-58-56,0,1.023,4,room
03-58-57,0,1.020,4,room
03-58-58,0,1.032,4,room
03-58-59,0,1.040,4,room
03-59-00,0,1.047,4,room
03-59-01,0,1.040,4,room
