Time,fms,HR,individual,simulation
03-58-00,0,84.500,4,room
03-58-01,0,85.100,4,room
03-58-02,0,85.670,4,room
03-58-03,0,86.280,4,room
03-58-04,0,86.930,4,room
03-58-05,0,87.630,4,room
03-58-06,0,88.330,4,room
03-58-07,0,89.300,4,room
03-58-08,0,90.200,4,room
03-58-09,0,91.120,4,room
03-58-10,0,92.050,4,room
03-58-11,0,92.980,4,room
03-58-12,0,93.930,4,room
03-58-13,0,94.850,4,room
03-58-14,0,95.770,4,room
03-58-15,0,96.720,4,room
03-58-16,0,97.650,4,room
03-58-17,0,98.570,4,room
03-58-18,0,99.530,4,room
03-58-19,0,100.480,4,room
03-58-20,0,101.380,4,room
03-58-21,0,102.270,4,room
03-58-22,0,102.750,4,room
03-58-23,0,103.250,4,room
03-58-24,0,103.750,4,room
03-58-25,0,104.080,4,room
03-58-26,0,104.450,4,room
03-58-27,0,104.820,4,room
03-58-28,0,105.180,4,room
03-58-29,0,105.570,4,room
