Time,fms,HR,individual,simulation
04-55-16,1,76.700,4,walk
04-55-17,1,76.980,4,walk
04-55-18,1,77.280,4,walk
04-55-19,1,77.630,4,walk
04-55-20,1,78.120,4,walk
04-55-21,1,78.550,4,walk
04-55-22,1,78.980,4,walk
04-55-23,1,79.380,4,walk
04-55-24,1,79.870,4,walk
04-55-25,1,80.400,4,walk
04-55-26,1,80.900,4,walk
04-55-27,1,81.320,4,walk
04-55-28,1,81.700,4,walk
04-55-29,1,82.150,4,walk
04-55-30,1,82.630,4,walk
04-55-31,1,83.120,4,walk
04-55-32,1,83.620,4,walk
04-55-33,1,84.280,4,walk
04-55-34,1,84.950,4,walk
04-55-35,1,85.580,4,walk
04-55-36,1,86.020,4,walk
04-55-37,1,86.270,4,walk
04-55-38,1,86.530,4,walk
04-55-39,1,86.830,4,walk
04-55-40,1,87.150,4,walk
04-55-41,1,87.420,4,walk
04-55-42,1,87.700,4,walk
04-55-43,1,87.900,4,walk
04-55-44,1,88.030,4,walk
04-55-45,1,88.200,4,walk
