Time,fms,EDA,individual,simulation
04-50-47,1,4.590,8,roller
04-50-48,1,4.517,8,roller
04-50-49,1,4.458,8,roller
04-50-50,1,4.440,8,roller
04-50-51,1,4.411,8,roller
04-50-52,1,4.370,8,roller
04-50-53,1,4.376,8,roller
04-50-54,1,4.387,8,roller
04-50-55,1,4.535,8,roller
04-50-56,1,4.857,8,roller
04-50-57,1,4.809,8,roller
04-50-58,1,4.603,8,roller
04-50-59,1,4.471,8,roller
04-51-00,1,4.422,8,roller
04-51-01,1,4.458,8,roller
04-51-02,1,4.433,8,roller
04-51-03,1,4.378,8,roller
04-51-04,1,4.331,8,roller
04-51-05,1,4.296,8,roller
04-51-06,1,4.334,8,roller
04-51-07,1,4.479,8,roller
04-51-08,1,4.526,8,roller
04-51-09,1,4.442,8,roller
04-51-10,1,4.368,8,roller
04-51-11,1,4.353,8,roller
04-51-12,1,4.436,8,roller
04-51-13,1,4.426,8,roller
04-51-14,1,4.355,8,roller
04-51-15,1,4.300,8,roller
04-51-16,1,4.278,8,roller
