Time,fms,EDA,individual,simulation
08-12-34,0,0.482,11,room
08-12-35,0,0.483,11,room
08-12-36,0,0.482,11,room
08-12-37,0,0.485,11,room
08-12-38,0,0.481,11,room
08-12-39,0,0.483,11,room
08-12-40,0,0.482,11,room
08-12-41,0,0.482,11,room
08-12-42,0,0.482,11,room
08-12-43,0,0.483,11,room
08-12-44,0,0.481,11,room
08-12-45,0,0.482,11,room
08-12-46,0,0.483,11,room
08-12-47,0,0.480,11,room
08-12-48,0,0.481,11,room
08-12-49,0,0.481,11,room
08-12-50,0,0.481,11,room
08-12-51,0,0.479,11,room
08-12-52,0,0.482,11,room
08-12-53,0,0.480,11,room
08-12-54,0,0.479,11,room
08-12-55,0,0.480,11,room
08-12-56,0,0.478,11,room
08-12-57,0,0.480,11,room
08-12-58,0,0.478,11,room
08-12-59,0,0.480,11,room
08-13-00,0,0.478,11,room
08-13-01,0,0.478,11,room
08-13-02,0,0.481,11,room
08-13-03,0,0.480,11,room
