Time,fms,HR,individual,simulation
12-09-20,1,94.780,13,room
12-09-21,1,94.730,13,room
12-09-22,1,94.700,13,room
12-09-23,1,94.670,13,room
12-09-24,1,94.650,13,room
12-09-25,1,94.630,13,room
12-09-26,1,94.620,13,room
12-09-27,1,94.600,13,room
12-09-28,1,94.600,13,room
12-09-29,1,94.580,13,room
12-09-30,1,94.570,13,room
12-09-31,1,94.530,13,room
12-09-32,1,94.480,13,room
12-09-33,1,94.430,13,room
12-09-34,1,94.350,13,room
12-09-35,1,94.270,13,room
12-09-36,1,94.170,13,room
12-09-37,1,94.070,13,room
12-09-38,1,94.000,13,room
12-09-39,1,93.930,13,room
12-09-40,1,93.850,13,room
12-09-41,1,93.780,13,room
12-09-42,1,93.730,13,room
12-09-43,1,93.680,13,room
12-09-44,1,93.670,13,room
12-09-45,1,93.670,13,room
12-09-46,1,93.670,13,room
12-09-47,1,93.680,13,room
12-09-48,1,93.680,13,room
12-09-49,1,93.670,13,room
