Time,fms,EDA,individual,simulation
04-24-57,0,4.021,14,room
04-24-58,0,4.084,14,room
04-24-59,0,3.924,14,room
04-25-00,0,3.921,14,room
04-25-01,0,3.942,14,room
04-25-02,0,3.926,14,room
04-25-03,0,4.140,14,room
04-25-04,0,4.430,14,room
04-25-05,0,4.243,14,room
04-25-06,0,4.040,14,room
04-25-07,0,3.927,14,room
04-25-08,0,3.817,14,room
04-25-09,0,3.812,14,room
04-25-10,0,3.770,14,room
04-25-11,0,3.697,14,room
04-25-12,0,3.833,14,room
04-25-13,0,4.082,14,room
04-25-14,0,3.978,14,room
04-25-15,0,3.873,14,room
04-25-16,0,3.774,14,room
04-25-17,0,3.735,14,room
04-25-18,0,3.744,14,room
04-25-19,0,3.708,14,room
04-25-20,0,3.673,14,room
04-25-21,0,3.629,14,room
04-25-22,0,3.612,14,room
04-25-23,0,3.572,14,room
04-25-24,0,3.542,14,room
04-25-25,0,3.588,14,room
04-25-26,0,3.641,14,room
