Time,fms,EDA,individual,simulation
04-13-47,0,3.232,14,sea
04-13-48,0,3.130,14,sea
04-13-49,0,3.079,14,sea
04-13-50,0,3.053,14,sea
04-13-51,0,3.031,14,sea
04-13-52,0,3.014,14,sea
04-13-53,0,2.991,14,sea
04-13-54,0,2.954,14,sea
04-13-55,0,2.962,14,sea
04-13-56,0,2.981,14,sea
04-13-57,0,3.049,14,sea
04-13-58,0,3.091,14,sea
04-13-59,0,3.115,14,sea
04-14-00,0,3.056,14,sea
04-14-01,0,3.023,14,sea
04-14-02,0,3.001,14,sea
04-14-03,0,2.983,14,sea
04-14-04,0,2.972,14,sea
04-14-05,0,2.964,14,sea
04-14-06,0,2.955,14,sea
04-14-07,0,2.943,14,sea
04-14-08,0,2.945,14,sea
04-14-09,0,2.942,14,sea
04-14-10,0,2.930,14,sea
04-14-11,0,2.916,14,sea
04-14-12,0,2.905,14,sea
04-14-13,0,2.901,14,sea
04-14-14,0,2.892,14,sea
04-14-15,0,2.886,14,sea
04-14-16,0,2.890,14,sea
