Time,fms,HR,individual,simulation
03-53-22,0,75.950,2,beach
03-53-23,0,75.970,2,beach
03-53-24,0,76.020,2,beach
03-53-25,0,76.080,2,beach
03-53-26,0,76.130,2,beach
03-53-27,0,76.170,2,beach
03-53-28,0,76.250,2,beach
03-53-29,0,76.280,2,beach
03-53-30,0,76.270,2,beach
03-53-31,0,76.250,2,beach
03-53-32,0,76.230,2,beach
03-53-33,0,76.220,2,beach
03-53-34,0,76.270,2,beach
03-53-35,0,76.380,2,beach
03-53-36,0,76.620,2,beach
03-53-37,0,76.870,2,beach
03-53-38,0,77.150,2,beach
03-53-39,0,77.420,2,beach
03-53-40,0,77.650,2,beach
03-53-41,0,77.870,2,beach
03-53-42,0,78.030,2,beach
03-53-43,0,78.180,2,beach
03-53-44,0,78.330,2,beach
03-53-45,0,78.500,2,beach
03-53-46,0,78.700,2,beach
03-53-47,0,78.950,2,beach
03-53-48,0,79.300,2,beach
03-53-49,0,79.620,2,beach
03-53-50,0,79.920,2,beach
03-53-51,0,80.250,2,beach
