Time,fms,EDA,individual,simulation
04-06-08,0,4.949,2,walk
04-06-09,0,4.888,2,walk
04-06-10,0,4.631,2,walk
04-06-11,0,4.433,2,walk
04-06-12,0,4.254,2,walk
04-06-13,0,4.177,2,walk
04-06-14,0,4.134,2,walk
04-06-15,0,4.082,2,walk
04-06-16,0,4.055,2,walk
04-06-17,0,4.497,2,walk
04-06-18,0,5.429,2,walk
04-06-19,0,5.879,2,walk
04-06-20,0,5.741,2,walk
04-06-21,0,5.250,2,walk
04-06-22,0,4.881,2,walk
04-06-23,0,4.658,2,walk
04-06-24,0,4.552,2,walk
04-06-25,0,4.484,2,walk
04-06-26,0,4.418,2,walk
04-06-27,0,4.364,2,walk
04-06-28,0,4.303,2,walk
04-06-29,0,4.336,2,walk
04-06-30,0,4.237,2,walk
04-06-31,0,4.224,2,walk
04-06-32,0,4.204,2,walk
04-06-33,0,4.316,2,walk
04-06-34,0,4.937,2,walk
04-06-35,0,5.443,2,walk
04-06-36,0,5.288,2,walk
04-06-37,0,4.972,2,walk
