Time,fms,HR,individual,simulation
12-53-22,0,88.030,7,walk
12-53-23,0,88.050,7,walk
12-53-24,0,88.050,7,walk
12-53-25,0,88.050,7,walk
12-53-26,0,88.020,7,walk
12-53-27,0,87.980,7,walk
12-53-28,0,87.930,7,walk
12-53-29,0,87.900,7,walk
12-53-30,0,87.920,7,walk
12-53-31,0,87.930,7,walk
12-53-32,0,87.930,7,walk
12-53-33,0,87.950,7,walk
12-53-34,0,87.950,7,walk
12-53-35,0,87.950,7,walk
12-53-36,0,87.920,7,walk
12-53-37,0,87.870,7,walk
12-53-38,0,87.820,7,walk
12-53-39,0,87.780,7,walk
12-53-40,0,87.750,7,walk
12-53-41,0,87.720,7,walk
12-53-42,0,87.670,7,walk
12-53-43,0,87.600,7,walk
12-53-44,0,87.520,7,walk
12-53-45,0,87.430,7,walk
12-53-46,0,87.330,7,walk
12-53-47,0,87.230,7,walk
12-53-48,0,87.150,7,walk
12-53-49,0,87.080,7,walk
12-53-50,0,87.030,7,walk
12-53-51,0,87.000,7,walk
