Time,fms,HR,individual,simulation
04-09-52,1,119.220,8,beach
04-09-53,1,119.330,8,beach
04-09-54,1,119.400,8,beach
04-09-55,1,119.470,8,beach
04-09-56,1,119.500,8,beach
04-09-57,1,119.570,8,beach
04-09-58,1,119.600,8,beach
04-09-59,1,119.630,8,beach
04-10-00,1,119.670,8,beach
04-10-01,1,119.700,8,beach
04-10-02,1,119.720,8,beach
04-10-03,1,119.720,8,beach
04-10-04,1,119.680,8,beach
04-10-05,1,119.670,8,beach
04-10-06,1,119.630,8,beach
04-10-07,1,119.620,8,beach
04-10-08,1,119.620,8,beach
04-10-09,1,119.620,8,beach
04-10-10,1,119.620,8,beach
04-10-11,1,119.620,8,beach
04-10-12,1,119.630,8,beach
04-10-13,1,119.670,8,beach
04-10-14,1,119.430,8,beach
04-10-15,1,119.320,8,beach
04-10-16,1,119.180,8,beach
04-10-17,1,119.030,8,beach
04-10-18,1,118.920,8,beach
04-10-19,1,118.870,8,beach
04-10-20,1,118.780,8,beach
04-10-21,1,118.700,8,beach
