Time,fms,HR,individual,simulation
03-54-42,2,121.270,8,walk
03-54-43,2,121.270,8,walk
03-54-44,2,121.300,8,walk
03-54-45,2,121.330,8,walk
03-54-46,2,121.370,8,walk
03-54-47,2,121.430,8,walk
03-54-48,2,121.500,8,walk
03-54-49,2,121.570,8,walk
03-54-50,2,121.650,8,walk
03-54-51,2,121.730,8,walk
03-54-52,2,121.800,8,walk
03-54-53,2,121.880,8,walk
03-54-54,2,121.980,8,walk
03-54-55,2,122.080,8,walk
03-54-56,2,122.180,8,walk
03-54-57,2,122.280,8,walk
03-54-58,2,122.380,8,walk
03-54-59,2,122.470,8,walk
03-55-00,2,122.630,8,walk
03-55-01,2,122.800,8,walk
03-55-02,2,122.920,8,walk
03-55-03,2,123.050,8,walk
03-55-04,2,123.180,8,walk
03-55-05,2,123.330,8,walk
03-55-06,2,123.480,8,walk
03-55-07,2,123.620,8,walk
03-55-08,2,123.750,8,walk
03-55-09,2,123.900,8,walk
03-55-10,2,124.050,8,walk
03-55-11,2,124.200,8,walk
