Time,fms,EDA,individual,simulation
07-40-54,2.000,0.790,11,roller
07-40-55,2.000,0.787,11,roller
07-40-56,2.000,0.784,11,roller
07-40-57,2.000,0.784,11,roller
07-40-58,2.000,0.782,11,roller
07-40-59,2.000,0.783,11,roller
07-41-00,2.000,0.778,11,roller
07-41-01,2.000,0.777,11,roller
07-41-02,2.000,0.773,11,roller
07-41-03,2.000,0.774,11,roller
07-41-04,2.000,0.771,11,roller
07-41-05,2.000,0.770,11,roller
07-41-06,2.000,0.768,11,roller
07-41-07,2.000,0.766,11,roller
07-41-08,2.000,0.765,11,roller
07-41-09,2.000,0.764,11,roller
07-41-10,2.000,0.762,11,roller
07-41-11,2.000,0.760,11,roller
07-41-12,2.000,0.759,11,roller
07-41-13,2.000,0.760,11,roller
07-41-14,2.000,0.755,11,roller
07-41-15,2.000,0.757,11,roller
07-41-16,2.000,0.753,11,roller
07-41-17,2.000,0.753,11,roller
07-41-18,2.000,0.750,11,roller
07-41-19,2.000,0.752,11,roller
07-41-20,2.000,0.746,11,roller
07-41-21,2.000,0.747,11,roller
07-41-22,2.000,0.743,11,roller
07-41-23,2.000,0.746,11,roller
