Time,fms,HR,individual,simulation
12-09-57,5,74.680,12,sea
12-09-58,5,74.680,12,sea
12-09-59,5,74.680,12,sea
12-10-00,5,74.670,12,sea
12-10-01,5,74.670,12,sea
12-10-02,5,74.680,12,sea
12-10-03,5,74.700,12,sea
12-10-04,5,74.720,12,sea
12-10-05,5,74.720,12,sea
12-10-06,5,74.720,12,sea
12-10-07,5,74.720,12,sea
12-10-08,5,74.700,12,sea
12-10-09,5,74.670,12,sea
12-10-10,5,74.650,12,sea
12-10-11,5,74.620,12,sea
12-10-12,5,74.650,12,sea
12-10-13,5,74.680,12,sea
12-10-14,5,74.730,12,sea
12-10-15,5,74.770,12,sea
12-10-16,5,74.770,12,sea
12-10-17,5,74.770,12,sea
12-10-18,5,74.770,12,sea
12-10-19,5,74.770,12,sea
12-10-20,5,74.770,12,sea
12-10-21,5,74.770,12,sea
12-10-22,5,74.780,12,sea
12-10-23,5,74.780,12,sea
12-10-24,5,74.780,12,sea
12-10-25,5,74.780,12,sea
12-10-26,5,74.780,12,sea
