Time,fms,EDA,individual,simulation
12-22-55,2,2.000,13,sea
12-22-56,2,2.239,13,sea
12-22-57,2,2.258,13,sea
12-22-58,2,2.131,13,sea
12-22-59,2,2.096,13,sea
12-23-00,2,2.084,13,sea
12-23-01,2,2.052,13,sea
12-23-02,2,2.035,13,sea
12-23-03,2,2.070,13,sea
12-23-04,2,2.088,13,sea
12-23-05,2,2.051,13,sea
12-23-06,2,2.026,13,sea
12-23-07,2,2.011,13,sea
12-23-08,2,2.007,13,sea
12-23-09,2,2.086,13,sea
12-23-10,2,2.241,13,sea
12-23-11,2,2.874,13,sea
12-23-12,2,3.426,13,sea
12-23-13,2,3.871,13,sea
12-23-14,2,4.258,13,sea
12-23-15,2,3.487,13,sea
12-23-16,2,3.316,13,sea
12-23-17,2,3.526,13,sea
12-23-18,2,3.183,13,sea
12-23-19,2,2.900,13,sea
12-23-20,2,2.788,13,sea
12-23-21,2,2.715,13,sea
12-23-22,2,2.836,13,sea
12-23-23,2,3.280,13,sea
12-23-24,2,3.350,13,sea
