Time,fms,EDA,individual,simulation
04-24-25,0,3.439,14,room
04-24-26,0,3.429,14,room
04-24-27,0,3.424,14,room
04-24-28,0,3.409,14,room
04-24-29,0,3.422,14,room
04-24-30,0,3.469,14,room
04-24-31,0,3.511,14,room
04-24-32,0,3.462,14,room
04-24-33,0,3.445,14,room
04-24-34,0,3.405,14,room
04-24-35,0,3.485,14,room
04-24-36,0,3.641,14,room
04-24-37,0,3.662,14,room
04-24-38,0,3.592,14,room
04-24-39,0,3.526,14,room
04-24-40,0,3.512,14,room
04-24-41,0,3.417,14,room
04-24-42,0,3.426,14,room
04-24-43,0,3.451,14,room
04-24-44,0,3.448,14,room
04-24-45,0,3.432,14,room
04-24-46,0,3.414,14,room
04-24-47,0,3.394,14,room
04-24-48,0,3.382,14,room
04-24-49,0,3.365,14,room
04-24-50,0,3.375,14,room
04-24-51,0,3.367,14,room
04-24-52,0,3.368,14,room
04-24-53,0,3.336,14,room
04-24-54,0,3.332,14,room
