Time,fms,EDA,individual,simulation
04-12-43,0,2.962,14,sea
04-12-44,0,2.949,14,sea
04-12-45,0,2.943,14,sea
04-12-46,0,2.942,14,sea
04-12-47,0,2.937,14,sea
04-12-48,0,2.933,14,sea
04-12-49,0,2.935,14,sea
04-12-50,0,2.931,14,sea
04-12-51,0,2.932,14,sea
04-12-52,0,2.949,14,sea
04-12-53,0,2.979,14,sea
04-12-54,0,2.977,14,sea
04-12-55,0,2.947,14,sea
04-12-56,0,2.943,14,sea
04-12-57,0,2.933,14,sea
04-12-58,0,2.921,14,sea
04-12-59,0,2.909,14,sea
04-13-00,0,2.896,14,sea
04-13-01,0,2.887,14,sea
04-13-02,0,2.876,14,sea
04-13-03,0,2.871,14,sea
04-13-04,0,2.859,14,sea
04-13-05,0,2.860,14,sea
04-13-06,0,2.861,14,sea
04-13-07,0,2.872,14,sea
04-13-08,0,2.907,14,sea
04-13-09,0,3.063,14,sea
04-13-10,0,3.101,14,sea
04-13-11,0,3.032,14,sea
04-13-12,0,2.979,14,sea
