Time,fms,EDA,individual,simulation
04-12-22,8,0.390,3,roller
04-12-23,8,0.392,3,roller
04-12-24,8,0.392,3,roller
04-12-25,8,0.408,3,roller
04-12-26,8,0.407,3,roller
04-12-27,8,0.401,3,roller
04-12-28,8,0.403,3,roller
04-12-29,8,0.407,3,roller
04-12-30,8,0.415,3,roller
04-12-31,8,0.413,3,roller
04-12-32,8,0.405,3,roller
04-12-33,8,0.401,3,roller
04-12-34,8,0.399,3,roller
04-12-35,8,0.402,3,roller
04-12-36,8,0.406,3,roller
04-12-37,8,0.401,3,roller
04-12-38,8,0.405,3,roller
04-12-39,8,0.407,3,roller
04-12-40,8,0.418,3,roller
04-12-41,8,0.421,3,roller
04-12-42,8,0.424,3,roller
04-12-43,8,0.422,3,roller
04-12-44,8,0.424,3,roller
04-12-45,8,0.426,3,roller
04-12-46,8,0.424,3,roller
04-12-47,8,0.428,3,roller
04-12-48,8,0.436,3,roller
04-12-49,8,0.443,3,roller
04-12-50,8,0.446,3,roller
04-12-51,8,0.449,3,roller
