Time,fms,HR,individual,simulation
04-07-13,1,73.100,4,sea
04-07-14,1,72.920,4,sea
04-07-15,1,72.730,4,sea
04-07-16,1,72.580,4,sea
04-07-17,1,72.500,4,sea
04-07-18,1,72.450,4,sea
04-07-19,1,72.450,4,sea
04-07-20,1,72.450,4,sea
04-07-21,1,72.470,4,sea
04-07-22,1,72.430,4,sea
04-07-23,1,72.420,4,sea
04-07-24,1,72.380,4,sea
04-07-25,1,72.350,4,sea
04-07-26,1,72.300,4,sea
04-07-27,1,72.270,4,sea
04-07-28,1,72.270,4,sea
04-07-29,1,72.330,4,sea
04-07-30,1,72.300,4,sea
04-07-31,1,72.370,4,sea
04-07-32,1,72.380,4,sea
04-07-33,1,72.420,4,sea
04-07-34,1,72.470,4,sea
04-07-35,1,72.530,4,sea
04-07-36,1,72.600,4,sea
04-07-37,1,72.630,4,sea
04-07-38,1,72.650,4,sea
04-07-39,1,72.670,4,sea
04-07-40,1,72.700,4,sea
04-07-41,1,72.800,4,sea
04-07-42,1,72.900,4,sea
