Time,fms,EDA,individual,simulation
03-54-10,2,9.695,8,walk
03-54-11,2,9.317,8,walk
03-54-12,2,9.240,8,walk
03-54-13,2,9.259,8,walk
03-54-14,2,9.147,8,walk
03-54-15,2,9.282,8,walk
03-54-16,2,8.981,8,walk
03-54-17,2,8.386,8,walk
03-54-18,2,8.403,8,walk
03-54-19,2,8.908,8,walk
03-54-20,2,9.375,8,walk
03-54-21,2,9.108,8,walk
03-54-22,2,8.934,8,walk
03-54-23,2,8.817,8,walk
03-54-24,2,8.561,8,walk
03-54-25,2,8.261,8,walk
03-54-26,2,8.197,8,walk
03-54-27,2,8.432,8,walk
03-54-28,2,8.632,8,walk
03-54-29,2,8.465,8,walk
03-54-30,2,8.249,8,walk
03-54-31,2,7.957,8,walk
03-54-32,2,8.062,8,walk
03-54-33,2,8.010,8,walk
03-54-34,2,8.090,8,walk
03-54-35,2,8.016,8,walk
03-54-36,2,8.168,8,walk
03-54-37,2,8.285,8,walk
03-54-38,2,8.802,8,walk
03-54-39,2,9.312,8,walk
