Time,fms,EDA,individual,simulation
07-43-34,4.000,0.637,11,roller
07-43-35,4.000,0.641,11,roller
07-43-36,4.000,0.635,11,roller
07-43-37,4.000,0.640,11,roller
07-43-38,4.000,0.639,11,roller
07-43-39,4.000,0.639,11,roller
07-43-40,4.000,0.637,11,roller
07-43-41,4.000,0.635,11,roller
07-43-42,4.000,0.634,11,roller
07-43-43,4.000,0.632,11,roller
07-43-44,4.000,0.638,11,roller
07-43-45,4.000,0.633,11,roller
07-43-46,4.000,0.635,11,roller
07-43-47,4.000,0.633,11,roller
07-43-48,4.000,0.635,11,roller
07-43-49,4.000,0.633,11,roller
07-43-50,4.000,0.630,11,roller
07-43-51,4.000,0.630,11,roller
07-43-52,4.000,0.632,11,roller
07-43-53,4.000,0.630,11,roller
07-43-54,4.000,0.627,11,roller
07-43-55,4.000,0.629,11,roller
07-43-56,4.000,0.626,11,roller
07-43-57,4.000,0.625,11,roller
07-43-58,4.000,0.625,11,roller
07-43-59,4.000,0.627,11,roller
07-44-00,4.000,0.623,11,roller
07-44-01,4.000,0.627,11,roller
07-44-02,4.000,0.623,11,roller
07-44-03,4.000,0.639,11,roller
