Time,fms,HR,individual,simulation
07-18-36,0,76.850,11,sea
07-18-37,0,76.900,11,sea
07-18-38,0,76.950,11,sea
07-18-39,0,77.020,11,sea
07-18-40,0,77.100,11,sea
07-18-41,0,77.180,11,sea
07-18-42,0,77.280,11,sea
07-18-43,0,77.380,11,sea
07-18-44,0,77.480,11,sea
07-18-45,0,77.580,11,sea
07-18-46,0,77.700,11,sea
07-18-47,0,77.820,11,sea
07-18-48,0,77.920,11,sea
07-18-49,0,78.000,11,sea
07-18-50,0,78.070,11,sea
07-18-51,0,78.100,11,sea
07-18-52,0,78.100,11,sea
07-18-53,0,78.080,11,sea
07-18-54,0,78.050,11,sea
07-18-55,0,77.950,11,sea
07-18-56,0,77.850,11,sea
07-18-57,0,77.730,11,sea
07-18-58,0,77.620,11,sea
07-18-59,0,77.500,11,sea
07-19-00,0,77.400,11,sea
07-19-01,0,77.300,11,sea
07-19-02,0,77.230,11,sea
07-19-03,0,77.180,11,sea
07-19-04,0,77.150,11,sea
07-19-05,0,77.120,11,sea
