Time,fms,EDA,individual,simulation
11-53-58,0,4.423,12,beach
11-53-59,0,4.391,12,beach
11-54-00,0,4.362,12,beach
11-54-01,0,4.341,12,beach
11-54-02,0,4.313,12,beach
11-54-03,0,4.305,12,beach
11-54-04,0,4.286,12,beach
11-54-05,0,4.273,12,beach
11-54-06,0,4.251,12,beach
11-54-07,0,4.234,12,beach
11-54-08,0,4.220,12,beach
11-54-09,0,4.224,12,beach
11-54-10,0,4.221,12,beach
11-54-11,0,4.230,12,beach
11-54-12,0,4.229,12,beach
11-54-13,0,4.219,12,beach
11-54-14,0,4.202,12,beach
11-54-15,0,4.185,12,beach
11-54-16,0,4.151,12,beach
11-54-17,0,4.146,12,beach
11-54-18,0,4.159,12,beach
11-54-19,0,4.261,12,beach
11-54-20,0,4.262,12,beach
11-54-21,0,4.468,12,beach
11-54-22,0,5.486,12,beach
11-54-23,0,5.485,12,beach
11-54-24,0,4.982,12,beach
11-54-25,0,5.713,12,beach
11-54-26,0,6.388,12,beach
11-54-27,0,5.707,12,beach
