Time,fms,HR,individual,simulation
12-36-27,1,97.880,13,walk
12-36-28,1,97.920,13,walk
12-36-29,1,97.930,13,walk
12-36-30,1,97.950,13,walk
12-36-31,1,97.950,13,walk
12-36-32,1,97.930,13,walk
12-36-33,1,97.930,13,walk
12-36-34,1,97.950,13,walk
12-36-35,1,98.020,13,walk
12-36-36,1,98.080,13,walk
12-36-37,1,98.180,13,walk
12-36-38,1,98.300,13,walk
12-36-39,1,98.400,13,walk
12-36-40,1,98.480,13,walk
12-36-41,1,98.600,13,walk
12-36-42,1,98.700,13,walk
12-36-43,1,98.780,13,walk
12-36-44,1,98.870,13,walk
12-36-45,1,98.950,13,walk
12-36-46,1,99.050,13,walk
12-36-47,1,99.170,13,walk
12-36-48,1,99.200,13,walk
12-36-49,1,99.250,13,walk
12-36-50,1,99.280,13,walk
12-36-51,1,99.320,13,walk
12-36-52,1,99.370,13,walk
12-36-53,1,99.420,13,walk
12-36-54,1,99.480,13,walk
12-36-55,1,99.580,13,walk
12-36-56,1,99.720,13,walk
