Time,fms,EDA,individual,simulation
04-41-24,1,3.565,14,roller
04-41-25,1,3.077,14,roller
04-41-26,1,2.792,14,roller
04-41-27,1,2.790,14,roller
04-41-28,1,2.923,14,roller
04-41-29,1,3.352,14,roller
04-41-30,1,3.361,14,roller
04-41-31,1,3.326,14,roller
04-41-32,1,3.316,14,roller
04-41-33,1,3.345,14,roller
04-41-34,1,3.363,14,roller
04-41-35,1,3.437,14,roller
04-41-36,1,3.390,14,roller
04-41-37,1,3.370,14,roller
04-41-38,1,3.358,14,roller
04-41-39,1,3.352,14,roller
04-41-40,1,3.349,14,roller
04-41-41,1,3.441,14,roller
04-41-42,1,3.458,14,roller
04-41-43,1,3.411,14,roller
04-41-44,1,3.301,14,roller
04-41-45,1,3.308,14,roller
04-41-46,1,3.234,14,roller
04-41-47,1,3.340,14,roller
04-41-48,1,3.321,14,roller
04-41-49,1,3.309,14,roller
04-41-50,1,3.286,14,roller
04-41-51,1,3.278,14,roller
04-41-52,1,3.269,14,roller
04-41-53,1,3.303,14,roller
