Time,fms,EDA,individual,simulation
03-51-14,0,4.986,2,beach
03-51-15,0,4.962,2,beach
03-51-16,0,4.944,2,beach
03-51-17,0,4.930,2,beach
03-51-18,0,4.900,2,beach
03-51-19,0,4.839,2,beach
03-51-20,0,4.823,2,beach
03-51-21,0,4.814,2,beach
03-51-22,0,4.802,2,beach
03-51-23,0,4.777,2,beach
03-51-24,0,4.757,2,beach
03-51-25,0,4.730,2,beach
03-51-26,0,4.907,2,beach
03-51-27,0,5.214,2,beach
03-51-28,0,5.515,2,beach
03-51-29,0,6.342,2,beach
03-51-30,0,6.612,2,beach
03-51-31,0,6.282,2,beach
03-51-32,0,5.825,2,beach
03-51-33,0,5.580,2,beach
03-51-34,0,6.001,2,beach
03-51-35,0,6.296,2,beach
03-51-36,0,6.360,2,beach
03-51-37,0,6.678,2,beach
03-51-38,0,6.368,2,beach
03-51-39,0,5.936,2,beach
03-51-40,0,5.639,2,beach
03-51-41,0,5.429,2,beach
03-51-42,0,5.173,2,beach
03-51-43,0,5.164,2,beach
