Time,fms,HR,individual,simulation
04-18-14,6,98.330,3,roller
04-18-15,6,98.530,3,roller
04-18-16,6,98.720,3,roller
04-18-17,6,98.880,3,roller
04-18-18,6,99.020,3,roller
04-18-19,6,99.150,3,roller
04-18-20,6,99.230,3,roller
04-18-21,6,99.300,3,roller
04-18-22,6,99.380,3,roller
04-18-23,6,99.450,3,roller
04-18-24,6,99.400,3,roller
04-18-25,6,99.380,3,roller
04-18-26,6,99.370,3,roller
04-18-27,6,99.330,3,roller
04-18-28,6,99.280,3,roller
04-18-29,6,99.200,3,roller
04-18-30,6,99.100,3,roller
04-18-31,6,99.000,3,roller
04-18-32,6,98.900,3,roller
04-18-33,6,98.780,3,roller
04-18-34,6,98.680,3,roller
04-18-35,6,98.600,3,roller
04-18-36,6,98.530,3,roller
04-18-37,6,98.500,3,roller
04-18-38,6,98.470,3,roller
04-18-39,6,98.450,3,roller
04-18-40,6,98.450,3,roller
04-18-41,6,98.450,3,roller
04-18-42,6,98.450,3,roller
04-18-43,6,98.450,3,roller
