Time,fms,EDA,individual,simulation
04-44-56,1,0.450,3,walk
04-44-57,1,0.454,3,walk
04-44-58,1,0.451,3,walk
04-44-59,1,0.456,3,walk
04-45-00,1,0.451,3,walk
04-45-01,1,0.452,3,walk
04-45-02,1,0.449,3,walk
04-45-03,1,0.449,3,walk
04-45-04,1,0.449,3,walk
04-45-05,1,0.448,3,walk
04-45-06,1,0.445,3,walk
04-45-07,1,0.445,3,walk
04-45-08,1,0.445,3,walk
04-45-09,1,0.444,3,walk
04-45-10,1,0.452,3,walk
04-45-11,1,0.455,3,walk
04-45-12,1,0.453,3,walk
04-45-13,1,0.455,3,walk
04-45-14,1,0.457,3,walk
04-45-15,1,0.464,3,walk
04-45-16,1,0.462,3,walk
04-45-17,1,0.463,3,walk
04-45-18,1,0.463,3,walk
04-45-19,1,0.461,3,walk
04-45-20,1,0.458,3,walk
04-45-21,1,0.453,3,walk
04-45-22,1,0.454,3,walk
04-45-23,1,0.456,3,walk
04-45-24,1,0.450,3,walk
04-45-25,1,0.451,3,walk
