Time,fms,HR,individual,simulation
04-38-04,1,88.980,4,beach
04-38-05,1,89.050,4,beach
04-38-06,1,89.070,4,beach
04-38-07,1,89.030,4,beach
04-38-08,1,88.950,4,beach
04-38-09,1,88.880,4,beach
04-38-10,1,88.720,4,beach
04-38-11,1,88.520,4,beach
04-38-12,1,88.270,4,beach
04-38-13,1,88.020,4,beach
04-38-14,1,87.750,4,beach
04-38-15,1,87.520,4,beach
04-38-16,1,87.320,4,beach
04-38-17,1,87.130,4,beach
04-38-18,1,86.870,4,beach
04-38-19,1,86.550,4,beach
04-38-20,1,86.220,4,beach
04-38-21,1,85.820,4,beach
04-38-22,1,85.420,4,beach
04-38-23,1,85.020,4,beach
04-38-24,1,84.650,4,beach
04-38-25,1,84.350,4,beach
04-38-26,1,84.030,4,beach
04-38-27,1,83.580,4,beach
04-38-28,1,83.150,4,beach
04-38-29,1,82.720,4,beach
04-38-30,1,82.280,4,beach
04-38-31,1,81.850,4,beach
04-38-32,1,81.370,4,beach
04-38-33,1,80.780,4,beach
