Time,fms,HR,individual,simulation
04-35-56,1,77.070,4,beach
04-35-57,1,77.120,4,beach
04-35-58,1,77.150,4,beach
04-35-59,1,77.170,4,beach
04-36-00,1,77.170,4,beach
04-36-01,1,77.180,4,beach
04-36-02,1,77.220,4,beach
04-36-03,1,77.280,4,beach
04-36-04,1,77.250,4,beach
04-36-05,1,77.280,4,beach
04-36-06,1,77.250,4,beach
04-36-07,1,77.120,4,beach
04-36-08,1,77.030,4,beach
04-36-09,1,76.980,4,beach
04-36-10,1,76.950,4,beach
04-36-11,1,76.920,4,beach
04-36-12,1,76.680,4,beach
04-36-13,1,76.220,4,beach
04-36-14,1,75.700,4,beach
04-36-15,1,75.280,4,beach
04-36-16,1,74.780,4,beach
04-36-17,1,74.250,4,beach
04-36-18,1,73.730,4,beach
04-36-19,1,73.230,4,beach
04-36-20,1,72.720,4,beach
04-36-21,1,72.250,4,beach
04-36-22,1,71.800,4,beach
04-36-23,1,71.750,4,beach
04-36-24,1,71.700,4,beach
04-36-25,1,71.630,4,beach
