Time,fms,HR,individual,simulation
04-49-11,1,90.820,8,roller
04-49-12,1,90.780,8,roller
04-49-13,1,90.750,8,roller
04-49-14,1,90.720,8,roller
04-49-15,1,90.700,8,roller
04-49-16,1,90.700,8,roller
04-49-17,1,90.720,8,roller
04-49-18,1,90.800,8,roller
04-49-19,1,90.870,8,roller
04-49-20,1,90.900,8,roller
04-49-21,1,90.930,8,roller
04-49-22,1,90.930,8,roller
04-49-23,1,90.920,8,roller
04-49-24,1,90.880,8,roller
04-49-25,1,90.830,8,roller
04-49-26,1,90.780,8,roller
04-49-27,1,90.720,8,roller
04-49-28,1,90.650,8,roller
04-49-29,1,90.580,8,roller
04-49-30,1,90.530,8,roller
04-49-31,1,90.520,8,roller
04-49-32,1,90.500,8,roller
04-49-33,1,90.480,8,roller
04-49-34,1,90.480,8,roller
04-49-35,1,90.480,8,roller
04-49-36,1,90.520,8,roller
04-49-37,1,90.580,8,roller
04-49-38,1,90.670,8,roller
04-49-39,1,90.770,8,roller
04-49-40,1,90.850,8,roller
