Time,fms,HR,individual,simulation
12-15-35,0,75.920,9,walk
12-15-36,0,76.170,9,walk
12-15-37,0,76.400,9,walk
12-15-38,0,76.480,9,walk
12-15-39,0,76.600,9,walk
12-15-40,0,76.680,9,walk
12-15-41,0,76.730,9,walk
12-15-42,0,76.770,9,walk
12-15-43,0,76.830,9,walk
12-15-44,0,76.800,9,walk
12-15-45,0,76.670,9,walk
12-15-46,0,76.520,9,walk
12-15-47,0,76.420,9,walk
12-15-48,0,76.350,9,walk
12-15-49,0,76.320,9,walk
12-15-50,0,76.280,9,walk
12-15-51,0,76.170,9,walk
12-15-52,0,76.070,9,walk
12-15-53,0,76.020,9,walk
12-15-54,0,75.880,9,walk
12-15-55,0,75.800,9,walk
12-15-56,0,75.730,9,walk
12-15-57,0,75.670,9,walk
12-15-58,0,75.620,9,walk
12-15-59,0,75.600,9,walk
12-16-00,0,75.680,9,walk
12-16-01,0,75.730,9,walk
12-16-02,0,75.800,9,walk
12-16-03,0,75.870,9,walk
12-16-04,0,75.920,9,walk
