Time,fms,HR,individual,simulation
12-14-30,1,89.430,1,roller
12-14-31,1,89.470,1,roller
12-14-32,1,89.500,1,roller
12-14-33,1,89.530,1,roller
12-14-34,1,89.550,1,roller
12-14-35,1,89.550,1,roller
12-14-36,1,89.550,1,roller
12-14-37,1,89.600,1,roller
12-14-38,1,89.630,1,roller
12-14-39,1,89.650,1,roller
12-14-40,1,89.650,1,roller
12-14-41,1,89.620,1,roller
12-14-42,1,89.580,1,roller
12-14-43,1,89.570,1,roller
12-14-44,1,89.530,1,roller
12-14-45,1,89.470,1,roller
12-14-46,1,89.400,1,roller
12-14-47,1,89.400,1,roller
12-14-48,1,89.400,1,roller
12-14-49,1,89.350,1,roller
12-14-50,1,89.320,1,roller
12-14-51,1,89.270,1,roller
12-14-52,1,89.220,1,roller
12-14-53,1,89.180,1,roller
12-14-54,1,89.150,1,roller
12-14-55,1,89.150,1,roller
12-14-56,1,89.150,1,roller
12-14-57,1,89.170,1,roller
12-14-58,1,89.220,1,roller
12-14-59,1,89.230,1,roller
