Time,fms,EDA,individual,simulation
11-44-32,0,12.998,1,room
11-44-33,0,12.586,1,room
11-44-34,0,12.436,1,room
11-44-35,0,12.352,1,room
11-44-36,0,12.274,1,room
11-44-37,0,12.221,1,room
11-44-38,0,12.157,1,room
11-44-39,0,12.072,1,room
11-44-40,0,12.013,1,room
11-44-41,0,12.079,1,room
11-44-42,0,12.092,1,room
11-44-43,0,12.005,1,room
11-44-44,0,11.940,1,room
11-44-45,0,11.877,1,room
11-44-46,0,11.889,1,room
11-44-47,0,11.924,1,room
11-44-48,0,11.923,1,room
11-44-49,0,11.904,1,room
11-44-50,0,11.888,1,room
11-44-51,0,11.998,1,room
11-44-52,0,13.372,1,room
11-44-53,0,14.351,1,room
11-44-54,0,13.724,1,room
11-44-55,0,13.149,1,room
11-44-56,0,12.843,1,room
11-44-57,0,12.739,1,room
11-44-58,0,12.713,1,room
11-44-59,0,12.588,1,room
11-45-00,0,12.533,1,room
11-45-01,0,12.448,1,room
