Time,fms,EDA,individual,simulation
12-40-45,0,7.429,1,sea
12-40-46,0,7.418,1,sea
12-40-47,0,7.416,1,sea
12-40-48,0,7.419,1,sea
12-40-49,0,7.423,1,sea
12-40-50,0,7.417,1,sea
12-40-51,0,7.419,1,sea
12-40-52,0,7.416,1,sea
12-40-53,0,7.414,1,sea
12-40-54,0,7.422,1,sea
12-40-55,0,7.418,1,sea
12-40-56,0,7.420,1,sea
12-40-57,0,7.426,1,sea
12-40-58,0,7.431,1,sea
12-40-59,0,7.425,1,sea
12-41-00,0,7.425,1,sea
12-41-01,0,7.426,1,sea
12-41-02,0,7.434,1,sea
12-41-03,0,7.429,1,sea
12-41-04,0,7.433,1,sea
12-41-05,0,7.428,1,sea
12-41-06,0,7.435,1,sea
12-41-07,0,7.438,1,sea
12-41-08,0,7.438,1,sea
12-41-09,0,7.440,1,sea
12-41-10,0,7.432,1,sea
12-41-11,0,7.437,1,sea
12-41-12,0,7.432,1,sea
12-41-13,0,7.434,1,sea
12-41-14,0,7.440,1,sea
