Time,fms,EDA,individual,simulation
08-01-30,1,0.534,11,beach
08-01-31,1,0.534,11,beach
08-01-32,1,0.536,11,beach
08-01-33,1,0.534,11,beach
08-01-34,1,0.532,11,beach
08-01-35,1,0.535,11,beach
08-01-36,1,0.529,11,beach
08-01-37,1,0.535,11,beach
08-01-38,1,0.531,11,beach
08-01-39,1,0.533,11,beach
08-01-40,1,0.530,11,beach
08-01-41,1,0.534,11,beach
08-01-42,1,0.531,11,beach
08-01-43,1,0.533,11,beach
08-01-44,1,0.530,11,beach
08-01-45,1,0.532,11,beach
08-01-46,1,0.530,11,beach
08-01-47,1,0.532,11,beach
08-01-48,1,0.529,11,beach
08-01-49,1,0.530,11,beach
08-01-50,1,0.527,11,beach
08-01-51,1,0.532,11,beach
08-01-52,1,0.530,11,beach
08-01-53,1,0.528,11,beach
08-01-54,1,0.531,11,beach
08-01-55,1,0.528,11,beach
08-01-56,1,0.531,11,beach
08-01-57,1,0.530,11,beach
08-01-58,1,0.531,11,beach
08-01-59,1,0.530,11,beach
