Time,fms,EDA,individual,simulation
08-15-47,0,0.472,11,room
08-15-48,0,0.471,11,room
08-15-49,0,0.469,11,room
08-15-50,0,0.472,11,room
08-15-51,0,0.471,11,room
08-15-52,0,0.472,11,room
08-15-53,0,0.472,11,room
08-15-54,0,0.472,11,room
08-15-55,0,0.478,11,room
08-15-56,0,0.476,11,room
08-15-57,0,0.473,11,room
08-15-58,0,0.473,11,room
08-15-59,0,0.469,11,room
08-16-00,0,0.471,11,room
08-16-01,0,0.469,11,room
08-16-02,0,0.470,11,room
08-16-03,0,0.471,11,room
08-16-04,0,0.470,11,room
08-16-05,0,0.468,11,room
08-16-06,0,0.470,11,room
08-16-07,0,0.469,11,room
08-16-08,0,0.467,11,room
08-16-09,0,0.470,11,room
08-16-10,0,0.467,11,room
08-16-11,0,0.468,11,room
08-16-12,0,0.470,11,room
08-16-13,0,0.474,11,room
08-16-14,0,0.468,11,room
08-16-15,0,0.468,11,room
08-16-16,0,0.466,11,room
