Time,fms,HR,individual,simulation
07-31-06,1,84.530,11,walk
07-31-07,1,84.580,11,walk
07-31-08,1,84.630,11,walk
07-31-09,1,84.680,11,walk
07-31-10,1,84.670,11,walk
07-31-11,1,84.670,11,walk
07-31-12,1,84.670,11,walk
07-31-13,1,84.670,11,walk
07-31-14,1,84.670,11,walk
07-31-15,1,84.670,11,walk
07-31-16,1,84.680,11,walk
07-31-17,1,84.700,11,walk
07-31-18,1,84.720,11,walk
07-31-19,1,84.730,11,walk
07-31-20,1,84.730,11,walk
07-31-21,1,84.720,11,walk
07-31-22,1,84.720,11,walk
07-31-23,1,84.700,11,walk
07-31-24,1,84.680,11,walk
07-31-25,1,84.650,11,walk
07-31-26,1,84.630,11,walk
07-31-27,1,84.620,11,walk
07-31-28,1,84.600,11,walk
07-31-29,1,84.580,11,walk
07-31-30,1,84.570,11,walk
07-31-31,1,84.570,11,walk
07-31-32,1,84.570,11,walk
07-31-33,1,84.570,11,walk
07-31-34,1,84.600,11,walk
07-31-35,1,84.630,11,walk
