Time,fms,EDA,individual,simulation
11-58-57,1,3.907,13,roller
11-58-58,1,3.787,13,roller
11-58-59,1,3.753,13,roller
11-59-00,1,3.859,13,roller
11-59-01,1,4.067,13,roller
11-59-02,1,3.986,13,roller
11-59-03,1,4.030,13,roller
11-59-04,1,4.114,13,roller
11-59-05,1,3.941,13,roller
11-59-06,1,3.842,13,roller
11-59-07,1,3.856,13,roller
11-59-08,1,4.328,13,roller
11-59-09,1,4.346,13,roller
11-59-10,1,4.152,13,roller
11-59-11,1,4.124,13,roller
11-59-12,1,3.984,13,roller
11-59-13,1,3.934,13,roller
11-59-14,1,3.957,13,roller
11-59-15,1,3.962,13,roller
11-59-16,1,4.087,13,roller
11-59-17,1,4.210,13,roller
11-59-18,1,4.088,13,roller
11-59-19,1,4.513,13,roller
11-59-20,1,4.557,13,roller
11-59-21,1,4.189,13,roller
11-59-22,1,4.125,13,roller
11-59-23,1,4.193,13,roller
11-59-24,1,4.101,13,roller
11-59-25,1,4.084,13,roller
11-59-26,1,4.078,13,roller
