Time,fms,EDA,individual,simulation
03-38-46,0,4.034,2,room
03-38-47,0,3.981,2,room
03-38-48,0,3.949,2,room
03-38-49,0,3.923,2,room
03-38-50,0,3.884,2,room
03-38-51,0,3.855,2,room
03-38-52,0,3.843,2,room
03-38-53,0,3.801,2,room
03-38-54,0,3.807,2,room
03-38-55,0,3.961,2,room
03-38-56,0,4.862,2,room
03-38-57,0,5.361,2,room
03-38-58,0,5.318,2,room
03-38-59,0,4.903,2,room
03-39-00,0,4.570,2,room
03-39-01,0,4.406,2,room
03-39-02,0,4.295,2,room
03-39-03,0,4.236,2,room
03-39-04,0,4.198,2,room
03-39-05,0,4.158,2,room
03-39-06,0,4.134,2,room
03-39-07,0,4.138,2,room
03-39-08,0,4.181,2,room
03-39-09,0,4.455,2,room
03-39-10,0,4.567,2,room
03-39-11,0,5.050,2,room
03-39-12,0,5.315,2,room
03-39-13,0,5.050,2,room
03-39-14,0,4.744,2,room
03-39-15,0,4.540,2,room
