Time,fms,EDA,individual,simulation
03-38-14,0,3.664,2,room
03-38-15,0,3.744,2,room
03-38-16,0,3.732,2,room
03-38-17,0,3.663,2,room
03-38-18,0,3.715,2,room
03-38-19,0,3.730,2,room
03-38-20,0,3.686,2,room
03-38-21,0,3.648,2,room
03-38-22,0,3.646,2,room
03-38-23,0,3.614,2,room
03-38-24,0,3.649,2,room
03-38-25,0,3.629,2,room
03-38-26,0,3.606,2,room
03-38-27,0,3.588,2,room
03-38-28,0,3.560,2,room
03-38-29,0,3.546,2,room
03-38-30,0,3.526,2,room
03-38-31,0,3.512,2,room
03-38-32,0,3.498,2,room
03-38-33,0,3.498,2,room
03-38-34,0,3.593,2,room
03-38-35,0,3.701,2,room
03-38-36,0,3.696,2,room
03-38-37,0,3.632,2,room
03-38-38,0,3.582,2,room
03-38-39,0,3.572,2,room
03-38-40,0,4.026,2,room
03-38-41,0,4.814,2,room
03-38-42,0,4.932,2,room
03-38-43,0,4.680,2,room
