Time,fms,HR,individual,simulation
03-35-34,0,84.400,2,room
03-35-35,0,84.320,2,room
03-35-36,0,84.280,2,room
03-35-37,0,84.270,2,room
03-35-38,0,84.280,2,room
03-35-39,0,84.300,2,room
03-35-40,0,84.320,2,room
03-35-41,0,84.330,2,room
03-35-42,0,84.350,2,room
03-35-43,0,84.350,2,room
03-35-44,0,84.350,2,room
03-35-45,0,84.370,2,room
03-35-46,0,84.420,2,room
03-35-47,0,84.480,2,room
03-35-48,0,84.570,2,room
03-35-49,0,84.670,2,room
03-35-50,0,84.800,2,room
03-35-51,0,84.920,2,room
03-35-52,0,85.050,2,room
03-35-53,0,85.180,2,room
03-35-54,0,85.320,2,room
03-35-55,0,85.450,2,room
03-35-56,0,85.600,2,room
03-35-57,0,85.730,2,room
03-35-58,0,85.870,2,room
03-35-59,0,86.000,2,room
03-36-00,0,86.130,2,room
03-36-01,0,86.250,2,room
03-36-02,0,86.330,2,room
03-36-03,0,86.350,2,room
