Time,fms,HR,individual,simulation
04-43-50,2,108.180,3,walk
04-43-51,2,108.180,3,walk
04-43-52,2,108.250,3,walk
04-43-53,2,108.330,3,walk
04-43-54,2,108.420,3,walk
04-43-55,2,108.520,3,walk
04-43-56,2,108.600,3,walk
04-43-57,2,108.630,3,walk
04-43-58,2,108.620,3,walk
04-43-59,2,108.450,3,walk
04-44-00,2,108.270,3,walk
04-44-01,2,108.150,3,walk
04-44-02,2,108.000,3,walk
04-44-03,2,107.830,3,walk
04-44-04,2,107.680,3,walk
04-44-05,2,107.550,3,walk
04-44-06,2,107.430,3,walk
04-44-07,2,107.330,3,walk
04-44-08,2,107.270,3,walk
04-44-09,2,107.230,3,walk
04-44-10,2,107.230,3,walk
04-44-11,2,107.230,3,walk
04-44-12,2,107.270,3,walk
04-44-13,2,107.300,3,walk
04-44-14,2,107.350,3,walk
04-44-15,2,107.420,3,walk
04-44-16,2,107.450,3,walk
04-44-17,2,107.480,3,walk
04-44-18,2,107.520,3,walk
04-44-19,2,107.520,3,walk
