Time,fms,EDA,individual,simulation
12-15-16,2,0.288,7,sea
12-15-17,2,0.296,7,sea
12-15-18,2,0.283,7,sea
12-15-19,2,0.276,7,sea
12-15-20,2,0.274,7,sea
12-15-21,2,0.269,7,sea
12-15-22,2,0.298,7,sea
12-15-23,2,0.330,7,sea
12-15-24,2,0.335,7,sea
12-15-25,2,0.319,7,sea
12-15-26,2,0.334,7,sea
12-15-27,2,0.357,7,sea
12-15-28,2,0.368,7,sea
12-15-29,2,0.361,7,sea
12-15-30,2,0.351,7,sea
12-15-31,2,0.380,7,sea
12-15-32,2,0.409,7,sea
12-15-33,2,0.425,7,sea
12-15-34,2,0.411,7,sea
12-15-35,2,0.395,7,sea
12-15-36,2,0.385,7,sea
12-15-37,2,0.381,7,sea
12-15-38,2,0.396,7,sea
12-15-39,2,0.411,7,sea
12-15-40,2,0.403,7,sea
12-15-41,2,0.392,7,sea
12-15-42,2,0.390,7,sea
12-15-43,2,0.386,7,sea
12-15-44,2,0.393,7,sea
12-15-45,2,0.460,7,sea
