Time,fms,HR,individual,simulation
12-29-06,1,63.080,9,sea
12-29-07,1,63.070,9,sea
12-29-08,1,63.050,9,sea
12-29-09,1,63.030,9,sea
12-29-10,1,63.030,9,sea
12-29-11,1,63.030,9,sea
12-29-12,1,63.030,9,sea
12-29-13,1,63.130,9,sea
12-29-14,1,63.230,9,sea
12-29-15,1,63.320,9,sea
12-29-16,1,63.420,9,sea
12-29-17,1,63.530,9,sea
12-29-18,1,63.680,9,sea
12-29-19,1,63.850,9,sea
12-29-20,1,64.030,9,sea
12-29-21,1,64.200,9,sea
12-29-22,1,64.370,9,sea
12-29-23,1,64.530,9,sea
12-29-24,1,64.720,9,sea
12-29-25,1,64.900,9,sea
12-29-26,1,65.100,9,sea
12-29-27,1,65.280,9,sea
12-29-28,1,65.450,9,sea
12-29-29,1,65.600,9,sea
12-29-30,1,65.730,9,sea
12-29-31,1,65.830,9,sea
12-29-32,1,65.900,9,sea
12-29-33,1,65.980,9,sea
12-29-34,1,66.020,9,sea
12-29-35,1,66.030,9,sea
