Time,fms,HR,individual,simulation,CSS
12-25-15,1,83.77,1,beach,Mid
12-25-16,1,83.75,1,beach,Mid
12-25-17,1,83.72,1,beach,Mid
12-25-18,1,83.7,1,beach,Mid
12-25-19,1,83.67,1,beach,Mid
12-25-20,1,83.68,1,beach,Mid
12-25-21,1,83.67,1,beach,Mid
12-25-22,1,83.62,1,beach,Mid
12-25-23,1,83.57,1,beach,Mid
12-25-24,1,83.52,1,beach,Mid
12-25-25,1,83.45,1,beach,Mid
12-25-26,1,83.43,1,beach,Mid
12-25-27,1,83.45,1,beach,Mid
12-25-28,1,83.45,1,beach,Mid
12-25-29,1,83.42,1,beach,Mid
12-25-30,1,83.47,1,beach,Mid
12-25-31,1,83.47,1,beach,Mid
12-25-32,1,83.67,1,beach,Mid
12-25-33,1,84.08,1,beach,Mid
12-25-34,1,84.47,1,beach,Mid
12-25-35,1,84.87,1,beach,Mid
12-25-36,1,85.32,1,beach,Mid
12-25-37,1,85.75,1,beach,Mid
12-25-38,1,86.18,1,beach,Mid
12-25-39,1,86.58,1,beach,Mid
12-25-40,1,87.0,1,beach,Mid
12-25-41,1,87.33,1,beach,Mid
12-25-42,1,87.65,1,beach,Mid
12-25-43,1,88.02,1,beach,Mid
12-25-44,1,88.42,1,beach,Mid
