Time,fms,EDA,individual,simulation,CSS
12-18-46,2,10.176,1,roller,High
12-18-47,2,10.178,1,roller,High
12-18-48,2,10.175,1,roller,High
12-18-49,2,10.182,1,roller,High
12-18-50,2,10.166,1,roller,High
12-18-51,2,10.165,1,roller,High
12-18-52,2,10.163,1,roller,High
12-18-53,2,10.161,1,roller,High
12-18-54,2,10.166,1,roller,High
12-18-55,2,10.157,1,roller,High
12-18-56,2,10.159,1,roller,High
12-18-57,2,10.167,1,roller,High
12-18-58,2,10.15,1,roller,High
12-18-59,2,10.154,1,roller,High
12-19-00,2,10.144,1,roller,High
12-19-01,2,10.153,1,roller,High
12-19-02,2,10.144,1,roller,High
12-19-03,2,10.146,1,roller,High
12-19-04,2,10.143,1,roller,High
12-19-05,2,10.139,1,roller,High
12-19-06,2,10.144,1,roller,High
12-19-07,2,10.131,1,roller,High
12-19-08,2,10.124,1,roller,High
12-19-09,2,10.117,1,roller,High
12-19-10,2,10.116,1,roller,High
12-19-11,2,10.11,1,roller,High
12-19-12,2,10.109,1,roller,High
12-19-13,2,10.117,1,roller,High
12-19-14,2,10.109,1,roller,High
12-19-15,2,10.105,1,roller,High
