Time,fms,HR,individual,simulation,CSS
12-16-38,1,87.97,1,roller,Mid
12-16-39,1,87.93,1,roller,Mid
12-16-40,1,87.9,1,roller,Mid
12-16-41,1,87.88,1,roller,Mid
12-16-42,1,87.85,1,roller,Mid
12-16-43,1,87.82,1,roller,Mid
12-16-44,1,87.77,1,roller,Mid
12-16-45,1,87.7,1,roller,Mid
12-16-46,1,87.67,1,roller,Mid
12-16-47,1,87.63,1,roller,Mid
12-16-48,1,87.6,1,roller,Mid
12-16-49,1,87.55,1,roller,Mid
12-16-50,1,87.52,1,roller,Mid
12-16-51,1,87.5,1,roller,Mid
12-16-52,1,87.47,1,roller,Mid
12-16-53,1,87.45,1,roller,Mid
12-16-54,1,87.47,1,roller,Mid
12-16-55,1,87.5,1,roller,Mid
12-16-56,1,87.55,1,roller,Mid
12-16-57,1,87.62,1,roller,Mid
12-16-58,1,87.72,1,roller,Mid
12-16-59,1,87.85,1,roller,Mid
12-17-00,1,87.98,1,roller,Mid
12-17-01,1,88.12,1,roller,Mid
12-17-02,1,88.22,1,roller,Mid
12-17-03,1,88.3,1,roller,Mid
12-17-04,1,88.38,1,roller,Mid
12-17-05,1,88.45,1,roller,Mid
12-17-06,1,88.55,1,roller,Mid
12-17-07,1,88.68,1,roller,Mid
