Time,fms,EDA,individual,simulation,CSS
11-43-28,0,10.759,1,room,Low
11-43-29,0,10.756,1,room,Low
11-43-30,0,10.757,1,room,Low
11-43-31,0,10.758,1,room,Low
11-43-32,0,10.763,1,room,Low
11-43-33,0,10.746,1,room,Low
11-43-34,0,10.756,1,room,Low
11-43-35,0,10.746,1,room,Low
11-43-36,0,10.754,1,room,Low
11-43-37,0,10.734,1,room,Low
11-43-38,0,10.746,1,room,Low
11-43-39,0,10.733,1,room,Low
11-43-40,0,10.745,1,room,Low
11-43-41,0,10.736,1,room,Low
11-43-42,0,10.744,1,room,Low
11-43-43,0,10.738,1,room,Low
11-43-44,0,10.741,1,room,Low
11-43-45,0,10.727,1,room,Low
11-43-46,0,10.723,1,room,Low
11-43-47,0,10.716,1,room,Low
11-43-48,0,10.718,1,room,Low
11-43-49,0,10.71,1,room,Low
11-43-50,0,10.722,1,room,Low
11-43-51,0,10.724,1,room,Low
11-43-52,0,10.726,1,room,Low
11-43-53,0,10.719,1,room,Low
11-43-54,0,10.723,1,room,Low
11-43-55,0,10.723,1,room,Low
11-43-56,0,10.729,1,room,Low
11-43-57,0,10.722,1,room,Low
