Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
12-38-37,5.742,0,0.946,0.967,2.529,2.458,0.543,0.42,0.577,0.46,-0.001,0.004,-0.026,-0.032,-0.097,0.994,466.791,2.03,164.087,0.71,-0.025,0.704,30.912,4.427,-25.528,-32.511,3.326,-26.262,0.032,-0.098,0.994,0.034,-0.096,0.994,,1,sea,Low
12-38-38,2.57,0,0.681,0.629,1.892,1.846,0.57,0.424,0.594,0.469,-0.005,0.003,-0.021,0.016,-0.082,0.994,385.514,1.657,138.132,0.66,-0.026,0.656,30.38,4.382,-24.877,-32.931,3.542,-26.441,-0.016,-0.085,0.808,-0.028,-0.079,0.807,,1,sea,Low
12-38-39,3.636,0,0.908,0.863,2.46,2.423,0.589,0.422,0.623,0.466,-0.005,0.004,-0.026,0.099,-0.1,0.978,480.285,2.036,174.89,0.923,-0.021,0.356,30.039,4.274,-25.044,-33.234,3.29,-26.659,-0.083,-0.101,0.98,-0.098,-0.099,0.978,,1,sea,Low
12-38-40,2.642,0,0.933,0.861,2.541,2.449,0.592,0.418,0.623,0.462,-0.013,0.004,-0.026,0.081,-0.085,0.978,487.835,2.036,179.917,0.899,-0.014,0.403,29.967,4.424,-25.339,-33.254,3.277,-26.359,-0.079,-0.088,0.98,-0.091,-0.083,0.977,,1,sea,Low
12-38-41,4.804,0,0.925,0.895,2.633,2.51,0.548,0.418,0.576,0.46,-0.013,0.004,-0.026,-0.034,-0.086,0.993,495.691,2.036,184.719,0.839,-0.035,0.538,30.74,4.466,-25.581,-32.525,3.28,-26.135,0.034,-0.088,0.994,0.039,-0.087,0.993,,1,sea,Low
12-38-42,5.702,0,0.951,0.914,2.728,2.553,0.535,0.412,0.562,0.452,-0.004,0.004,-0.026,-0.074,-0.067,0.994,503.513,2.036,189.587,0.808,-0.029,0.586,30.977,4.623,-25.883,-32.263,3.448,-26.358,0.071,-0.069,0.994,0.076,-0.065,0.994,,1,sea,Low
12-38-43,4.801,0,0.942,0.923,2.702,2.573,0.546,0.414,0.572,0.455,-0.01,0.004,-0.026,-0.042,-0.073,0.99,511.633,2.036,194.744,0.809,-0.043,0.576,30.717,4.357,-24.938,-32.425,3.426,-26.413,0.049,-0.068,0.989,0.044,-0.073,0.99,,1,sea,Low
12-38-44,2.611,0,0.98,0.99,2.672,2.487,0.479,0.42,0.5,0.458,0.008,0.004,-0.026,-0.251,-0.076,0.96,519.655,2.041,199.931,0.578,-0.033,0.815,31.785,4.19,-24.811,-31.199,3.561,-27.129,0.255,-0.076,0.959,0.233,-0.081,0.964,,1,sea,Low
12-38-45,2.29,0,0.91,0.902,2.607,2.494,0.535,0.433,0.559,0.472,0.007,0.004,-0.026,-0.085,-0.132,0.97,528.003,2.046,205.151,0.641,-0.035,0.746,30.872,4.003,-24.595,-32.147,3.447,-27.337,0.091,-0.133,0.967,0.07,-0.133,0.972,,1,sea,Low
12-38-46,2.409,0,0.955,0.922,2.609,2.473,0.564,0.43,0.59,0.471,-0.009,0.004,-0.026,-0.005,-0.12,0.965,536.709,2.046,210.346,0.749,-0.039,0.591,30.388,4.046,-24.601,-32.643,3.355,-27.036,0.008,-0.121,0.964,-0.013,-0.12,0.967,,1,sea,Low
12-38-47,4.874,0,0.966,0.97,2.565,2.483,0.6,0.42,0.631,0.463,-0.004,0.004,-0.026,0.117,-0.09,0.981,545.878,2.047,215.281,0.963,-0.013,0.233,29.815,4.199,-24.7,-33.368,3.323,-26.642,-0.106,-0.09,0.983,-0.116,-0.089,0.981,,1,sea,Low
12-38-48,2.726,0,0.953,0.905,2.632,2.577,0.561,0.417,0.587,0.461,-0.013,0.004,-0.026,-0.013,-0.084,0.981,555.34,2.044,219.684,0.848,-0.026,0.499,30.42,4.186,-24.368,-32.648,3.361,-26.594,0.02,-0.082,0.982,0.003,-0.088,0.982,,1,sea,Low
12-38-49,4.599,0,0.95,0.911,2.714,2.613,0.599,0.415,0.63,0.459,-0.009,0.004,-0.026,0.108,-0.082,0.99,564.42,2.041,224.503,0.951,-0.033,0.207,29.816,4.122,-23.907,-33.388,3.422,-26.649,-0.104,-0.082,0.99,-0.108,-0.08,0.99,,1,sea,Low
12-38-50,5.607,0,0.963,0.942,2.638,2.556,0.568,0.407,0.595,0.446,-0.001,0.004,-0.025,0.018,-0.047,0.993,573.443,2.025,227.596,0.955,-0.012,-0.27,30.349,4.203,-23.922,-32.796,3.556,-26.45,-0.012,-0.044,0.993,-0.016,-0.046,0.993,,1,sea,Low
