Time,fms,HR,individual,simulation,CSS
11-59-46,1,83.33,1,walk,Mid
11-59-47,1,83.45,1,walk,Mid
11-59-48,1,83.58,1,walk,Mid
11-59-49,1,83.72,1,walk,Mid
11-59-50,1,83.88,1,walk,Mid
11-59-51,1,84.0,1,walk,Mid
11-59-52,1,84.13,1,walk,Mid
11-59-53,1,84.23,1,walk,Mid
11-59-54,1,84.35,1,walk,Mid
11-59-55,1,84.48,1,walk,Mid
11-59-56,1,84.67,1,walk,Mid
11-59-57,1,84.87,1,walk,Mid
11-59-58,1,85.33,1,walk,Mid
11-59-59,1,85.83,1,walk,Mid
12-00-00,1,86.33,1,walk,Mid
12-00-01,1,86.97,1,walk,Mid
12-00-02,1,87.58,1,walk,Mid
12-00-03,1,88.18,1,walk,Mid
12-00-04,1,88.87,1,walk,Mid
12-00-05,1,89.58,1,walk,Mid
12-00-06,1,90.38,1,walk,Mid
12-00-07,1,91.17,1,walk,Mid
12-00-08,1,91.97,1,walk,Mid
12-00-09,1,92.68,1,walk,Mid
12-00-10,1,93.38,1,walk,Mid
12-00-11,1,93.7,1,walk,Mid
12-00-12,1,93.98,1,walk,Mid
12-00-13,1,94.37,1,walk,Mid
12-00-14,1,94.75,1,walk,Mid
12-00-15,1,95.17,1,walk,Mid
