Time,fms,HR,individual,simulation,CSS
12-00-18,1,96.1,1,walk,Mid
12-00-19,1,96.27,1,walk,Mid
12-00-20,1,96.4,1,walk,Mid
12-00-21,1,96.53,1,walk,Mid
12-00-22,1,96.7,1,walk,Mid
12-00-23,1,96.87,1,walk,Mid
12-00-24,1,97.05,1,walk,Mid
12-00-25,1,97.3,1,walk,Mid
12-00-26,1,97.53,1,walk,Mid
12-00-27,1,97.82,1,walk,Mid
12-00-28,1,98.13,1,walk,Mid
12-00-29,1,98.43,1,walk,Mid
12-00-30,1,98.72,1,walk,Mid
12-00-31,1,99.0,1,walk,Mid
12-00-32,1,99.27,1,walk,Mid
12-00-33,1,99.5,1,walk,Mid
12-00-34,1,99.72,1,walk,Mid
12-00-35,1,99.9,1,walk,Mid
12-00-36,1,100.08,1,walk,Mid
12-00-37,1,100.27,1,walk,Mid
12-00-38,1,100.45,1,walk,Mid
12-00-39,1,100.65,1,walk,Mid
12-00-40,1,100.87,1,walk,Mid
12-00-41,1,101.12,1,walk,Mid
12-00-42,1,101.4,1,walk,Mid
12-00-43,1,101.7,1,walk,Mid
12-00-44,1,102.02,1,walk,Mid
12-00-45,1,102.37,1,walk,Mid
12-00-46,1,102.77,1,walk,Mid
12-00-47,1,103.15,1,walk,Mid
