Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
07-59-54,1.278,1,1.0,1.0,4.374,4.284,0.55,0.601,0.542,0.581,-0.009,0.001,-0.028,0.036,-0.378,0.919,-69.459,2.433,72.624,-0.068,-0.55,0.818,34.241,1.171,-28.881,-34.352,1.265,-26.694,-0.089,-0.374,0.918,-0.004,-0.379,0.919,,11,beach,Mid
07-59-55,2.195,1,1.0,1.0,4.356,4.372,0.553,0.607,0.568,0.59,-0.009,0.001,-0.028,0.094,-0.41,0.905,-69.447,2.456,72.626,-0.09,-0.361,0.927,34.164,1.111,-28.826,-34.762,1.212,-26.77,-0.094,-0.405,0.907,-0.095,-0.416,0.902,,11,beach,Mid
07-59-56,1.561,1,1.0,1.0,4.51,4.496,0.546,0.592,0.546,0.577,-0.006,0.001,-0.027,0.051,-0.389,0.915,-69.438,2.451,72.669,-0.216,-0.413,0.874,34.295,1.398,-28.707,-34.374,1.444,-26.655,-0.074,-0.381,0.915,-0.03,-0.394,0.914,,11,beach,Mid
07-59-57,1.906,1,1.0,1.0,4.33,4.352,0.54,0.599,0.545,0.584,-0.009,0.001,-0.027,0.023,-0.41,0.91,-69.446,2.455,72.64,-0.328,-0.387,0.854,34.376,1.27,-28.707,-34.394,1.304,-26.7,-0.048,-0.4,0.913,-0.011,-0.41,0.909,,11,beach,Mid
07-59-58,1.852,1,1.0,1.0,4.543,4.578,0.559,0.61,0.564,0.594,-0.009,0.001,-0.028,0.096,-0.448,0.888,-69.424,2.462,72.628,-0.353,-0.35,0.863,34.083,1.116,-28.736,-34.711,1.241,-26.822,-0.122,-0.439,0.889,-0.082,-0.453,0.886,,11,beach,Mid
07-59-59,1.721,1,1.0,1.0,4.402,4.426,0.486,0.553,0.493,0.523,-0.006,0.002,-0.027,-0.129,-0.215,0.949,-69.418,2.457,72.659,-0.77,-0.232,0.349,35.318,1.94,-28.92,-33.406,2.319,-26.615,0.138,-0.199,0.946,0.128,-0.217,0.95,,11,beach,Mid
08-00-00,3.355,1,1.0,1.0,3.999,3.937,0.525,0.538,0.535,0.508,-0.021,0.002,-0.027,0.029,-0.144,0.983,-69.466,2.456,72.593,-0.931,-0.082,-0.251,34.709,2.156,-28.968,-34.047,2.479,-26.523,-0.013,-0.137,0.982,-0.03,-0.152,0.981,,11,beach,Mid
08-00-01,1.956,1,1.0,1.0,4.046,4.08,0.496,0.543,0.506,0.512,-0.02,0.002,-0.027,-0.076,-0.161,0.979,-69.505,2.455,72.549,-0.336,-0.087,-0.884,35.178,2.12,-29.332,-33.591,2.444,-26.626,0.097,-0.147,0.977,0.077,-0.164,0.978,,11,beach,Mid
08-00-02,3.382,1,1.0,1.0,3.941,3.967,0.503,0.535,0.514,0.501,-0.015,0.003,-0.027,-0.044,-0.129,0.989,-68.868,2.461,67.585,0.22,-0.068,-0.968,35.168,2.538,-30.284,-33.719,2.57,-26.394,0.039,-0.124,0.99,0.043,-0.129,0.989,,11,beach,Mid
08-00-03,1.996,1,1.0,1.0,4.078,4.185,0.439,0.541,0.448,0.503,0.016,0.003,-0.03,-0.26,-0.101,0.951,-68.041,2.458,61.509,0.819,-0.003,-0.411,36.177,2.508,-31.016,-32.527,2.575,-27.005,0.272,-0.098,0.949,0.245,-0.104,0.957,,11,beach,Mid
08-00-04,1.678,1,1.0,1.0,4.221,4.042,0.544,0.577,0.559,0.551,-0.008,0.002,-0.028,0.11,-0.203,0.941,-68.093,2.468,61.5,0.055,-0.059,-0.61,34.485,1.625,-30.259,-34.325,1.668,-27.241,-0.099,-0.2,0.944,-0.115,-0.196,0.903,,11,beach,Mid
08-00-05,1.498,1,1.0,1.0,4.281,4.261,0.523,0.532,0.533,0.502,-0.018,0.002,-0.027,0.039,-0.031,0.976,-68.135,2.469,61.474,-0.347,0.143,-0.762,34.795,2.21,-30.093,-33.962,2.288,-26.785,-0.018,-0.018,0.976,-0.04,-0.027,0.977,,11,beach,Mid
08-00-06,2.509,1,1.0,1.0,4.111,4.13,0.523,0.577,0.533,0.546,-0.027,0.001,-0.027,0.019,-0.146,0.979,-68.037,2.458,61.553,0.697,0.052,-0.682,34.69,1.209,-29.6,-34.04,1.469,-26.939,0.008,-0.143,0.98,-0.017,-0.152,0.978,,11,beach,Mid
08-00-07,1.017,1,1.0,1.0,4.109,4.136,0.451,0.569,0.461,0.534,0.003,0.002,-0.028,-0.245,-0.133,0.955,-67.97,2.456,61.471,0.894,-0.049,0.289,35.863,1.341,-29.43,-32.822,1.856,-27.113,0.267,-0.123,0.947,0.221,-0.146,0.958,,11,beach,Mid
08-00-08,2.352,1,1.0,1.0,3.789,3.874,0.494,0.561,0.506,0.525,-0.006,0.002,-0.028,-0.11,-0.129,0.982,-68.027,2.46,61.465,0.741,-0.013,0.671,35.193,1.812,-30.359,-33.676,2.005,-26.813,0.106,-0.125,0.983,0.095,-0.141,0.983,,11,beach,Mid
08-00-09,1.623,1,0.725,0.55,3.2,3.709,0.511,0.591,0.527,0.554,-0.011,0.002,-0.028,-0.037,-0.274,0.958,-68.041,2.477,61.524,0.709,0.053,0.689,34.903,1.477,-30.088,-34.036,1.567,-26.563,0.031,-0.242,0.886,0.025,-0.265,0.96,,11,beach,Mid
08-00-10,0.912,1,0.997,0.999,4.068,4.088,0.51,0.561,0.507,0.539,-0.005,0.002,-0.028,-0.078,-0.228,0.942,-68.005,2.454,61.512,0.423,-0.26,0.801,34.904,2.043,-29.858,-33.698,1.977,-26.775,0.053,-0.216,0.938,0.094,-0.233,0.941,,11,beach,Mid
08-00-11,1.635,1,1.0,1.0,3.967,3.987,0.544,0.56,0.555,0.535,-0.013,0.002,-0.028,0.064,-0.174,0.955,-68.029,2.467,61.493,0.395,-0.141,0.846,34.336,1.805,-29.562,-34.473,1.936,-27.002,-0.063,-0.168,0.96,-0.076,-0.178,0.953,,11,beach,Mid
08-00-12,2.846,1,1.0,1.0,4.201,4.196,0.533,0.536,0.545,0.508,-0.01,0.002,-0.027,0.035,-0.082,0.995,-68.031,2.46,61.48,0.658,-0.106,0.744,34.576,1.979,-29.086,-34.328,2.187,-26.351,-0.038,-0.07,0.996,-0.033,-0.083,0.995,,11,beach,Mid
08-00-13,1.026,1,1.0,1.0,4.422,4.359,0.551,0.56,0.548,0.538,0.003,0.002,-0.028,0.07,-0.176,0.97,-68.013,2.458,61.466,0.651,-0.18,0.728,34.266,1.632,-28.92,-34.382,1.796,-26.611,-0.103,-0.175,0.967,-0.046,-0.194,0.969,,11,beach,Mid
08-00-14,2.798,1,1.0,1.0,4.162,4.156,0.525,0.566,0.539,0.547,-0.012,0.002,-0.027,-0.001,-0.213,0.976,-68.031,2.461,61.508,0.643,-0.165,0.746,34.664,1.547,-28.916,-34.282,1.583,-26.542,-0.002,-0.205,0.977,0.002,-0.217,0.975,,11,beach,Mid
08-00-15,0.621,1,1.0,1.0,4.269,4.24,0.529,0.553,0.541,0.536,-0.012,0.002,-0.027,0.009,-0.165,0.981,-68.035,2.462,61.53,0.62,-0.112,0.771,34.578,1.698,-28.718,-34.308,1.776,-26.599,-0.006,-0.151,0.981,-0.01,-0.175,0.98,,11,beach,Mid
08-00-16,1.002,1,1.0,1.0,4.282,4.266,0.575,0.57,0.568,0.56,-0.01,0.002,-0.028,0.104,-0.253,0.96,-68.056,2.448,61.522,0.658,-0.267,0.702,33.74,1.53,-28.721,-34.806,1.507,-26.933,-0.149,-0.238,0.958,-0.084,-0.261,0.96,,11,beach,Mid
08-00-17,1.495,1,1.0,1.0,4.148,4.073,0.56,0.554,0.565,0.547,-0.018,0.002,-0.027,0.08,-0.203,0.972,-68.054,2.446,61.529,0.654,-0.212,0.724,33.97,1.785,-28.699,-34.784,1.634,-26.756,-0.096,-0.19,0.971,-0.066,-0.211,0.972,,11,beach,Mid
08-00-18,0.959,1,1.0,1.0,4.276,4.196,0.56,0.559,0.574,0.554,-0.016,0.002,-0.027,0.096,-0.23,0.968,-68.061,2.456,61.532,0.672,-0.099,0.734,33.945,1.669,-28.549,-34.943,1.512,-26.695,-0.084,-0.204,0.975,-0.101,-0.237,0.966,,11,beach,Mid
08-00-19,1.87,1,1.0,1.0,4.411,4.393,0.532,0.553,0.545,0.54,-0.021,0.002,-0.027,0.015,-0.203,0.978,-68.053,2.462,61.516,0.475,-0.126,0.864,34.486,1.756,-28.495,-34.4,1.782,-26.624,-0.005,-0.186,0.981,-0.016,-0.207,0.977,,11,beach,Mid
08-00-20,2.96,1,1.0,1.0,4.246,4.183,0.537,0.555,0.549,0.535,-0.014,0.002,-0.027,0.054,-0.191,0.978,-68.026,2.466,61.501,0.48,-0.131,0.865,34.453,1.85,-29.017,-34.336,1.828,-26.45,-0.042,-0.187,0.98,-0.062,-0.192,0.977,,11,beach,Mid
08-00-21,2.486,1,1.0,1.0,4.208,4.181,0.568,0.554,0.579,0.534,-0.016,0.002,-0.027,0.14,-0.181,0.965,-64.075,2.463,67.591,0.634,-0.147,0.729,33.898,1.76,-28.738,-34.871,1.887,-26.586,-0.135,-0.174,0.965,-0.159,-0.186,0.957,,11,beach,Mid
08-00-22,1.181,1,1.0,1.0,4.474,4.517,0.62,0.567,0.632,0.547,0.012,0.002,-0.028,0.326,-0.205,0.912,-61.57,2.47,71.419,0.804,-0.088,-0.381,33.045,1.558,-28.882,-35.647,1.754,-26.863,-0.317,-0.204,0.915,-0.363,-0.205,0.896,,11,beach,Mid
08-00-23,0.829,1,1.0,1.0,4.565,4.535,0.538,0.603,0.523,0.575,-0.007,0.001,-0.027,0.009,-0.353,0.933,-61.576,2.466,71.521,0.287,-0.293,-0.906,34.49,1.017,-28.731,-33.93,1.239,-26.327,-0.067,-0.364,0.928,0.036,-0.355,0.933,,11,beach,Mid
