Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
07-58-50,1.218,0,0.944,0.97,2.05,2.563,0.379,0.429,0.525,0.505,-0.014,0.002,-0.02,0.013,-0.146,0.983,-38.532,1.669,57.164,0.078,-0.118,-0.438,34.999,1.889,-29.276,-33.958,2.697,-26.276,-0.024,-0.123,0.621,-0.009,-0.147,0.71,,11,beach,Low
07-58-51,4.331,0,1.0,1.0,3.636,3.754,0.5,0.552,0.512,0.495,-0.0,0.002,-0.028,-0.035,-0.155,0.977,-52.999,2.293,78.596,0.162,-0.135,-0.967,35.29,1.969,-29.607,-33.6,2.879,-26.418,0.035,-0.156,0.976,0.032,-0.162,0.976,,11,beach,Low
07-58-52,2.939,0,1.0,1.0,3.886,3.935,0.498,0.6,0.509,0.545,-0.01,0.002,-0.028,-0.058,-0.35,0.93,-52.958,2.267,78.489,0.175,-0.515,-0.834,35.242,1.437,-30.11,-33.627,2.111,-26.383,0.054,-0.343,0.933,0.061,-0.347,0.931,,11,beach,Low
07-58-53,1.584,0,1.0,1.0,3.91,4.106,0.504,0.533,0.512,0.48,-0.009,0.003,-0.028,-0.036,-0.15,0.983,-52.85,2.337,78.059,0.276,-0.472,-0.827,35.206,2.694,-30.486,-33.643,3.291,-26.431,0.021,-0.14,0.986,0.044,-0.155,0.981,,11,beach,Low
07-58-54,1.566,0,1.0,1.0,3.853,3.969,0.502,0.579,0.508,0.537,-0.002,0.002,-0.029,-0.048,-0.275,0.923,-52.76,2.701,78.199,0.348,-0.39,-0.806,35.146,2.034,-31.129,-33.564,2.271,-26.968,0.052,-0.262,0.928,0.052,-0.275,0.923,,11,beach,Low
07-58-55,1.785,0,1.0,1.0,3.773,3.999,0.49,0.519,0.495,0.471,-0.012,0.003,-0.028,-0.076,-0.065,0.994,-52.746,2.73,78.177,0.692,-0.225,-0.685,35.532,3.075,-31.357,-33.285,3.232,-26.449,0.046,-0.065,0.995,0.083,-0.068,0.993,,11,beach,Low
07-58-56,2.562,0,1.0,1.0,4.028,4.164,0.49,0.564,0.495,0.499,0.001,0.003,-0.029,-0.039,-0.205,0.962,-52.88,2.748,77.947,0.705,-0.352,-0.581,35.578,2.073,-30.532,-33.17,2.969,-26.559,0.03,-0.207,0.962,0.047,-0.206,0.961,,11,beach,Low
07-58-57,1.361,0,1.0,1.0,3.942,4.015,0.513,0.559,0.516,0.519,-0.02,0.002,-0.027,-0.023,-0.213,0.96,-52.611,2.736,77.912,0.61,-0.421,-0.639,35.037,2.247,-30.722,-33.691,2.415,-26.677,-0.001,-0.196,0.965,0.025,-0.208,0.961,,11,beach,Low
07-58-58,2.063,0,1.0,1.0,3.982,4.057,0.444,0.525,0.444,0.468,-0.009,0.003,-0.028,-0.228,-0.02,0.939,-52.435,2.74,77.558,0.901,-0.204,-0.278,36.193,2.595,-30.81,-32.361,3.303,-26.956,0.225,-0.014,0.936,0.229,-0.021,0.94,,11,beach,Low
07-58-59,1.029,0,1.0,1.0,3.965,4.068,0.547,0.598,0.536,0.564,-0.016,0.002,-0.028,0.046,-0.364,0.915,-52.096,2.727,77.389,0.576,-0.544,-0.571,34.383,1.361,-29.379,-34.094,1.862,-27.082,-0.096,-0.359,0.912,-0.022,-0.372,0.913,,11,beach,Low
07-59-00,0.763,0,1.0,1.0,4.127,4.171,0.57,0.623,0.559,0.593,-0.009,0.001,-0.028,0.121,-0.475,0.87,-51.826,2.732,77.173,0.55,-0.643,-0.529,33.979,1.091,-29.436,-34.526,1.497,-27.234,-0.176,-0.466,0.865,-0.092,-0.475,0.873,,11,beach,Low
07-59-01,0.74,0,1.0,1.0,4.383,4.366,0.59,0.598,0.575,0.567,-0.009,0.002,-0.028,0.189,-0.388,0.901,-51.749,2.726,77.041,0.562,-0.664,-0.491,33.657,1.413,-29.308,-34.736,1.892,-27.121,-0.244,-0.373,0.894,-0.159,-0.395,0.904,,11,beach,Low
07-59-02,0.481,0,1.0,1.0,4.407,4.472,0.564,0.621,0.541,0.588,-0.008,0.001,-0.028,0.099,-0.467,0.877,-51.782,2.731,77.178,0.354,-0.714,-0.592,34.164,1.063,-29.373,-34.167,1.597,-27.166,-0.183,-0.457,0.868,-0.047,-0.471,0.878,,11,beach,Low
07-59-03,1.154,0,1.0,1.0,4.358,4.378,0.554,0.578,0.55,0.545,-0.013,0.002,-0.028,0.093,-0.311,0.928,-51.873,2.747,77.256,-0.044,-0.47,-0.851,34.239,1.608,-28.936,-34.304,2.135,-26.927,-0.121,-0.302,0.93,-0.08,-0.306,0.931,,11,beach,Low
07-59-04,2.19,0,1.0,1.0,4.252,4.268,0.556,0.584,0.565,0.55,-0.007,0.002,-0.028,0.117,-0.322,0.936,-52.051,2.777,77.215,-0.143,-0.207,-0.954,34.198,1.401,-28.797,-34.599,2.033,-26.879,-0.124,-0.314,0.939,-0.117,-0.322,0.937,,11,beach,Low
07-59-05,1.869,0,1.0,1.0,4.315,4.457,0.577,0.599,0.595,0.569,-0.01,0.002,-0.028,0.187,-0.357,0.915,-52.02,2.786,77.263,-0.173,-0.095,-0.98,33.761,1.114,-28.832,-35.189,1.72,-27.097,-0.177,-0.347,0.92,-0.196,-0.364,0.91,,11,beach,Low
07-59-06,1.505,0,1.0,1.0,4.567,4.785,0.586,0.591,0.605,0.563,-0.01,0.002,-0.028,0.224,-0.336,0.915,-52.019,2.786,77.265,-0.184,-0.08,-0.98,33.635,1.226,-28.723,-35.353,1.831,-27.093,-0.211,-0.324,0.922,-0.231,-0.343,0.91,,11,beach,Low
07-59-07,2.73,0,1.0,1.0,4.481,4.582,0.582,0.587,0.596,0.56,-0.01,0.002,-0.028,0.196,-0.32,0.926,-52.011,2.782,77.246,-0.18,-0.122,-0.972,33.694,1.275,-28.613,-35.218,1.806,-27.007,-0.197,-0.311,0.928,-0.194,-0.325,0.924,,11,beach,Low
07-59-08,0.931,0,1.0,1.0,4.434,4.515,0.589,0.594,0.581,0.57,-0.011,0.001,-0.028,0.163,-0.357,0.914,-51.993,2.765,77.23,-0.155,-0.345,-0.919,33.542,1.218,-28.619,-35.0,1.65,-26.985,-0.213,-0.343,0.908,-0.137,-0.363,0.915,,11,beach,Low
