Time,fms,EDA,individual,simulation,CSS
07-45-42,5.0,0.595,11,roller,High
07-45-43,5.0,0.597,11,roller,High
07-45-44,5.0,0.596,11,roller,High
07-45-45,5.0,0.592,11,roller,High
07-45-46,5.0,0.591,11,roller,High
07-45-47,5.0,0.59,11,roller,High
07-45-48,5.0,0.592,11,roller,High
07-45-49,5.0,0.587,11,roller,High
07-45-50,5.0,0.59,11,roller,High
07-45-51,5.0,0.586,11,roller,High
07-45-52,5.0,0.584,11,roller,High
07-45-53,5.0,0.585,11,roller,High
07-45-54,5.0,0.584,11,roller,High
07-45-55,5.0,0.581,11,roller,High
07-45-56,5.0,0.58,11,roller,High
07-45-57,5.0,0.581,11,roller,High
07-45-58,5.0,0.581,11,roller,High
07-45-59,5.0,0.58,11,roller,High
07-46-00,5.0,0.578,11,roller,High
07-46-01,5.0,0.582,11,roller,High
07-46-02,5.0,0.578,11,roller,High
07-46-03,5.0,0.574,11,roller,High
07-46-04,5.0,0.578,11,roller,High
07-46-05,5.0,0.571,11,roller,High
07-46-06,5.0,0.576,11,roller,High
07-46-07,5.0,0.571,11,roller,High
07-46-08,5.0,0.573,11,roller,High
07-46-09,5.0,0.567,11,roller,High
07-46-10,5.0,0.571,11,roller,High
07-46-11,5.0,0.567,11,roller,High
