Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
07-44-38,0.234,5.0,0.391,0.37,5.416,5.944,0.506,0.565,0.532,0.453,0.009,0.004,-0.032,0.073,-0.235,0.965,-58.463,19.483,118.318,0.989,0.017,0.021,35.074,3.313,-33.759,-33.361,4.858,-28.647,-0.063,-0.272,0.957,-0.095,-0.175,0.975,,11,roller,High
07-44-39,0.627,5.0,0.279,0.333,4.665,5.236,0.487,0.556,0.513,0.448,0.01,0.004,-0.028,0.004,-0.202,0.975,-32.929,20.186,104.087,0.869,-0.038,0.063,35.359,3.498,-33.715,-33.071,4.98,-28.602,0.006,-0.228,0.842,-0.027,-0.162,0.888,,11,roller,High
07-44-40,0.381,5.0,0.247,0.299,3.914,4.125,0.491,0.562,0.505,0.448,0.01,0.003,-0.024,0.012,-0.188,0.974,-11.47,18.109,85.008,0.704,-0.134,0.125,35.219,3.562,-33.736,-32.969,5.008,-28.765,-0.01,-0.218,0.734,-0.016,-0.13,0.719,,11,roller,High
07-44-41,0.457,5.0,0.622,0.527,5.422,5.864,0.514,0.547,0.536,0.447,0.006,0.004,-0.032,0.103,-0.228,0.967,0.202,23.714,110.099,0.829,-0.332,-0.444,35.0,3.705,-33.644,-33.425,5.14,-28.811,-0.096,-0.249,0.963,-0.112,-0.194,0.973,,11,roller,High
07-44-42,0.364,5.0,0.586,0.515,4.774,5.037,0.523,0.551,0.532,0.449,0.006,0.004,-0.029,0.091,-0.207,0.971,14.039,17.609,89.651,0.455,-0.513,-0.482,34.781,3.628,-33.694,-33.433,5.097,-28.834,-0.083,-0.232,0.871,-0.093,-0.166,0.854,,11,roller,High
07-44-43,1.769,5.0,0.747,0.634,5.015,5.373,0.523,0.497,0.536,0.399,-0.015,0.005,-0.027,0.095,-0.076,0.988,20.941,7.951,70.442,-0.175,-0.303,-0.695,34.82,4.524,-33.643,-33.457,6.048,-28.754,-0.107,-0.085,0.917,-0.097,-0.071,0.921,,11,roller,High
07-44-44,0.542,5.0,0.534,0.521,2.98,3.159,0.501,0.481,0.551,0.434,-0.01,0.003,-0.018,0.106,-0.098,0.974,10.915,4.894,34.628,-0.396,0.094,-0.053,34.436,3.978,-33.581,-33.839,5.794,-28.852,-0.109,-0.085,0.586,-0.102,-0.088,0.592,,11,roller,High
07-44-45,0.478,5.0,0.272,0.324,4.161,4.091,0.414,0.553,0.482,0.5,0.009,0.003,-0.026,-0.044,-0.344,0.917,2.12,14.268,30.747,-0.647,-0.013,-0.235,35.758,2.879,-33.936,-32.569,4.442,-29.063,0.043,-0.346,0.709,0.05,-0.321,0.681,,11,roller,High
07-44-46,1.259,5.0,0.398,0.543,5.575,5.675,0.434,0.588,0.456,0.483,0.007,0.004,-0.032,-0.164,-0.36,0.918,-17.168,21.785,24.914,-0.695,-0.454,-0.547,36.238,3.167,-33.938,-32.162,4.681,-28.87,0.159,-0.374,0.913,0.17,-0.338,0.925,,11,roller,High
07-44-47,1.264,5.0,0.684,0.793,5.48,5.666,0.435,0.565,0.453,0.46,0.006,0.004,-0.032,-0.17,-0.29,0.941,-34.623,14.586,10.884,-0.563,-0.602,-0.56,36.225,3.48,-33.866,-32.125,4.988,-28.694,0.163,-0.304,0.937,0.18,-0.268,0.946,,11,roller,High
